cluster,year,month,day,date,maximum,site
11,2010,6,1,2010-06-01,68,Conroe Relocated C78/A321
3,2010,6,2,2010-06-02,43,Conroe Relocated C78/A321
3,2010,6,3,2010-06-03,47,Wallisville Road C617
3,2010,6,4,2010-06-04,59,Seabrook Friendship Park C45
7,2010,6,5,2010-06-05,54,Conroe Relocated C78/A321
15,2010,6,6,2010-06-06,47,Houston Aldine C8/AF108/X150
13,2010,6,7,2010-06-07,36,Northwest Harris Co. C26/A110/X154
0,2010,6,8,2010-06-08,39,Hou.DeerPrk2 C35/235/1001/AFH139FP239
0,2010,6,9,2010-06-09,30,Northwest Harris Co. C26/A110/X154
0,2010,6,10,2010-06-10,32,Conroe Relocated C78/A321
2,2010,6,11,2010-06-11,30,Conroe Relocated C78/A321
0,2010,6,12,2010-06-12,28,Conroe Relocated C78/A321
0,2010,6,13,2010-06-13,28,Conroe Relocated C78/A321
0,2010,6,14,2010-06-14,38,Conroe Relocated C78/A321
2,2010,6,15,2010-06-15,43,Conroe Relocated C78/A321
0,2010,6,16,2010-06-16,49,Conroe Relocated C78/A321
0,2010,6,17,2010-06-17,36,Conroe Relocated C78/A321
0,2010,6,18,2010-06-18,41,Conroe Relocated C78/A321
8,2010,6,19,2010-06-19,47,Conroe Relocated C78/A321
12,2010,6,20,2010-06-20,50,Houston Aldine C8/AF108/X150
8,2010,6,21,2010-06-21,66,Conroe Relocated C78/A321
8,2010,6,22,2010-06-22,61,Houston Aldine C8/AF108/X150
12,2010,6,23,2010-06-23,47,Northwest Harris Co. C26/A110/X154
12,2010,6,24,2010-06-24,60,Wallisville Road C617
12,2010,6,25,2010-06-25,49,Conroe Relocated C78/A321
8,2010,6,26,2010-06-26,46,Houston Aldine C8/AF108/X150
6,2010,6,27,2010-06-27,50,Conroe Relocated C78/A321
7,2010,6,28,2010-06-28,37,Houston Aldine C8/AF108/X150
7,2010,6,29,2010-06-29,41,Houston Croquet C409
6,2010,6,30,2010-06-30,23,Northwest Harris Co. C26/A110/X154
6,2010,7,1,2010-07-01,19,Wallisville Road C617
5,2010,7,2,2010-07-02,15,Seabrook Friendship Park C45
1,2010,7,3,2010-07-03,28,Seabrook Friendship Park C45
2,2010,7,4,2010-07-04,36,Houston Aldine C8/AF108/X150
2,2010,7,5,2010-07-05,49,Houston Aldine C8/AF108/X150
3,2010,7,6,2010-07-06,55,Houston Croquet C409
3,2010,7,7,2010-07-07,22,Seabrook Friendship Park C45
1,2010,7,8,2010-07-08,21,Wallisville Road C617
5,2010,7,9,2010-07-09,66,Northwest Harris Co. C26/A110/X154
9,2010,7,10,2010-07-10,65,Seabrook Friendship Park C45
4,2010,7,11,2010-07-11,32,Houston Aldine C8/AF108/X150
6,2010,7,12,2010-07-12,22,Wallisville Road C617
2,2010,7,13,2010-07-13,28,Conroe Relocated C78/A321
0,2010,7,14,2010-07-14,40,Conroe Relocated C78/A321
12,2010,7,15,2010-07-15,53,Wallisville Road C617
12,2010,7,16,2010-07-16,92,Houston Aldine C8/AF108/X150
12,2010,7,17,2010-07-17,68,Houston Aldine C8/AF108/X150
12,2010,7,18,2010-07-18,42,Houston Aldine C8/AF108/X150
12,2010,7,19,2010-07-19,24,Conroe Relocated C78/A321
4,2010,7,20,2010-07-20,35,Northwest Harris Co. C26/A110/X154
8,2010,7,21,2010-07-21,35,Northwest Harris Co. C26/A110/X154
4,2010,7,22,2010-07-22,30,Northwest Harris Co. C26/A110/X154
4,2010,7,23,2010-07-23,34,Houston Aldine C8/AF108/X150
4,2010,7,24,2010-07-24,77,Lang C408
8,2010,7,25,2010-07-25,66,Manvel Croix Park C84
4,2010,7,26,2010-07-26,55,Northwest Harris Co. C26/A110/X154
1,2010,7,27,2010-07-27,27,Conroe Relocated C78/A321
4,2010,7,28,2010-07-28,29,Conroe Relocated C78/A321
12,2010,7,29,2010-07-29,41,Conroe Relocated C78/A321
12,2010,7,30,2010-07-30,51,Wallisville Road C617
13,2010,7,31,2010-07-31,58,Wallisville Road C617
15,2010,8,1,2010-08-01,69,Wallisville Road C617
9,2010,8,2,2010-08-02,82,Houston Aldine C8/AF108/X150
12,2010,8,3,2010-08-03,83,Houston Aldine C8/AF108/X150
12,2010,8,4,2010-08-04,76,Wallisville Road C617
12,2010,8,5,2010-08-05,54,Conroe Relocated C78/A321
15,2010,8,6,2010-08-06,44,Conroe Relocated C78/A321
14,2010,8,7,2010-08-07,45,Wallisville Road C617
10,2010,8,8,2010-08-08,33,Conroe Relocated C78/A321
1,2010,8,9,2010-08-09,52,Conroe Relocated C78/A321
4,2010,8,10,2010-08-10,77,Lang C408
9,2010,8,11,2010-08-11,93,Park Place C416
14,2010,8,12,2010-08-12,71,Wallisville Road C617
6,2010,8,13,2010-08-13,53,Wallisville Road C617
2,2010,8,14,2010-08-14,31,Houston Aldine C8/AF108/X150
4,2010,8,15,2010-08-15,48,Wallisville Road C617
8,2010,8,16,2010-08-16,50,Seabrook Friendship Park C45
13,2010,8,17,2010-08-17,79,Park Place C416
