cluster,datestring,year,month,day,max D8HO,month_string,site
11,2010-06-01,2010,6,1,82,june.csv,
3,2010-06-02,2010,6,2,52,june.csv,
3,2010-06-03,2010,6,3,49,june.csv,
3,2010-06-04,2010,6,4,59,june.csv,
7,2010-06-05,2010,6,5,63,june.csv,
15,2010-06-06,2010,6,6,60,june.csv,
13,2010-06-07,2010,6,7,36,june.csv,
0,2010-06-08,2010,6,8,39,june.csv,
0,2010-06-09,2010,6,9,32,june.csv,
0,2010-06-10,2010,6,10,36,june.csv,
2,2010-06-11,2010,6,11,33,june.csv,
0,2010-06-12,2010,6,12,33,june.csv,
0,2010-06-13,2010,6,13,31,june.csv,
0,2010-06-14,2010,6,14,43,june.csv,
2,2010-06-15,2010,6,15,45,june.csv,
0,2010-06-16,2010,6,16,52,june.csv,
0,2010-06-17,2010,6,17,41,june.csv,
0,2010-06-18,2010,6,18,47,june.csv,
8,2010-06-19,2010,6,19,58,june.csv,
12,2010-06-20,2010,6,20,58,june.csv,
8,2010-06-21,2010,6,21,80,june.csv,
8,2010-06-22,2010,6,22,80,june.csv,
12,2010-06-23,2010,6,23,60,june.csv,
12,2010-06-24,2010,6,24,69,june.csv,
12,2010-06-25,2010,6,25,62,june.csv,
8,2010-06-26,2010,6,26,54,june.csv,
6,2010-06-27,2010,6,27,60,june.csv,
7,2010-06-28,2010,6,28,41,june.csv,
7,2010-06-29,2010,6,29,44,june.csv,
6,2010-06-30,2010,6,30,26,june.csv,
6,2010-07-01,2010,7,1,9,july.csv,
5,2010-07-02,2010,7,2,9,july.csv,
1,2010-07-03,2010,7,3,28,july.csv,
2,2010-07-04,2010,7,4,48,july.csv,
2,2010-07-05,2010,7,5,51,july.csv,
3,2010-07-06,2010,7,6,60,july.csv,
3,2010-07-07,2010,7,7,9,july.csv,
1,2010-07-08,2010,7,8,9,july.csv,
5,2010-07-09,2010,7,9,66,july.csv,
9,2010-07-10,2010,7,10,73,july.csv,
4,2010-07-11,2010,7,11,36,july.csv,
6,2010-07-12,2010,7,12,27,july.csv,
2,2010-07-13,2010,7,13,29,july.csv,
0,2010-07-14,2010,7,14,44,july.csv,
12,2010-07-15,2010,7,15,53,july.csv,
12,2010-07-16,2010,7,16,92,july.csv,
12,2010-07-17,2010,7,17,73,july.csv,
12,2010-07-18,2010,7,18,43,july.csv,
12,2010-07-19,2010,7,19,9,july.csv,
4,2010-07-20,2010,7,20,35,july.csv,
8,2010-07-21,2010,7,21,36,july.csv,
4,2010-07-22,2010,7,22,30,july.csv,
4,2010-07-23,2010,7,23,47,july.csv,
4,2010-07-24,2010,7,24,84,july.csv,
8,2010-07-25,2010,7,25,66,july.csv,
4,2010-07-26,2010,7,26,55,july.csv,
1,2010-07-27,2010,7,27,32,july.csv,
4,2010-07-28,2010,7,28,32,july.csv,
12,2010-07-29,2010,7,29,46,july.csv,
12,2010-07-30,2010,7,30,53,july.csv,
13,2010-07-31,2010,7,31,62,july.csv,
15,2010-08-01,2010,8,1,78,august.csv,
9,2010-08-02,2010,8,2,92,august.csv,
12,2010-08-03,2010,8,3,83,august.csv,
12,2010-08-04,2010,8,4,77,august.csv,
12,2010-08-05,2010,8,5,62,august.csv,
15,2010-08-06,2010,8,6,53,august.csv,
14,2010-08-07,2010,8,7,48,august.csv,
10,2010-08-08,2010,8,8,44,august.csv,
