AQS Code	CAMS	TCEQ Region	Reg#	Site Name	Street Address	Latitude	Longitude	Activation Date
480391003	0011	HOUSTON	12	Clute	426 Commerce Street 	29.0108384	-95.3976681	01-Jan-1974
480391004	0084	HOUSTON	12	Manvel Croix Park	4503 Croix Pkwy 	29.5204432	-95.3925089	23-Aug-2001
480391012	1012	HOUSTON	12	Freeport South Avenue I	207 South Avenue I 	28.9643947	-95.3549746	25-May-2011
480391016	1016	HOUSTON	12	Lake Jackson	109B  Brazoria Hwy 332 West 	29.0437716	-95.4729624	10-Jun-2003
480391607	1607	HOUSTON	12	Oyster Creek	901 County Road 792 	29.0105560	-95.3133330	14-Dec-2016
480391608	1608	HOUSTON	12	Freeport North Fenceline	302 Midway Road 	28.9588889	-95.3350000	21-Nov-2014
480710013	0096, 0638	HOUSTON	12	Smith Point Hawkins Camp	1850 Hawkins Camp Rd 	29.5462624	-94.7869691	06-Sep-2000
480711606	1606	HOUSTON	12	UH Smith Point	450 Old Dutchman Road 	29.5457890	-94.7813860	15-Apr-2016
481670004	9995	HOUSTON	12	Texas City Fire Station	2516 Texas Avenue 	29.3848050	-94.9313076	01-Jan-1972
481670005	0147, 1022	HOUSTON	12	Texas City Ball Park	2516 1/2 Texas Avenue 	29.3852379	-94.9315298	20-Oct-1997
481670056	0620	HOUSTON	12	Texas City 34th Street	2212 North 34th Street 	29.4057000	-94.9471200	01-Jun-2003
481670615	0615, 1615	HOUSTON	12	Texas City BP 31st Street (Site 1)	Texas City Bp Property 	29.3814500	-94.9410800	31-Dec-2009
481670616	0616, 1616	HOUSTON	12	Texas City BP Onsite (Site 2)	Texas City Bp Property Onsite 	29.3688600	-94.9154400	23-Mar-2010
481670621	0621, 1621	HOUSTON	12	Texas City BP Logan Street (Site 3)	303 Logan Street 	29.3809810	-94.9302200	07-Apr-2010
481670683	0683	HOUSTON	12	Texas City 11th Street	569 11th Street South 	29.3787000	-94.9101900	01-Jan-2010
481671034	1034	HOUSTON	12	Galveston 99th Street	9511 Avenue V 1/2 	29.2544780	-94.8612868	20-Mar-2007
482010024	0008, 0108, 0150	HOUSTON	12	Houston Aldine	4510 1/2 Aldine Mail Rd 	29.9010364	-95.3261373	01-Jan-1974
482010026	0015, 0115	HOUSTON	12	Channelview	1405 Sheldon Road 	29.8027073	-95.1254948	01-Jan-1980
482010029	0026, 0110, 0154	HOUSTON	12	Northwest Harris County	16822 Kitzman 	30.0395254	-95.6739468	01-Jan-1981
482010036	1036	HOUSTON	12	Channelview Drive Water Tower	15913 Channelview Drive 	29.7717237	-95.1208133	19-Jul-2006
482010046	0405, 1033	HOUSTON	12	Houston North Wayside	7330 1/2 North Wayside 	29.8280859	-95.2840958	01-Jan-1976
482010047	0408	HOUSTON	12	Lang	4401 1/2 Lang Rd 	29.8342055	-95.4891195	01-Jan-1978
482010051	0409	HOUSTON	12	Houston Croquet	13826 1/2 Croquet 	29.6239607	-95.4743412	01-Jan-1978
482010055	0053, 0146, 0181	HOUSTON	12	Houston Bayland Park	6400 Bissonnet Street 	29.6957294	-95.4992190	24-Mar-1998
482010057	0167, 1667	HOUSTON	12	Galena Park	1713 2nd Street 	29.7342580	-95.2384588	21-Oct-1997
482010058	0148	HOUSTON	12	Baytown	7210 1/2 Bayway Drive 	29.7706975	-95.0312316	25-Mar-1998
482010060	0404	HOUSTON	12	Houston Kirkpatrick	5565 Kirkpatrick 	29.8074146	-95.2936223	10-Feb-2000
482010061	0145	HOUSTON	12	Shore Acres	3903 1/2 Old Highway 146 	29.6150018	-95.0181340	28-May-1998
482010062	0406	HOUSTON	12	Houston Monroe	9726 1/2 Monroe 	29.6256610	-95.2670542	01-Jan-1984
482010066	0410, 3003	HOUSTON	12	Houston Westhollow	3333 1/2 Hwy 6 South 	29.7233387	-95.6359456	01-Jul-1994
482010069	0169	HOUSTON	12	Milby Park	2201A Central St 	29.7062514	-95.2611300	07-Apr-1999
482010307	1029	HOUSTON	12	Manchester East Avenue N	9415 East Avenue N 	29.7193583	-95.2594972	09-May-2005
482010416	0416	HOUSTON	12	Park Place	7421 Park Place Blvd 	29.6863890	-95.2947220	22-Feb-2006
482010417	0417	HOUSTON	12	Houston Harvard Street	160 Harvard Street 	29.7729154	-95.3957846	25-Jan-2021
482010551	0551	HOUSTON	12	Sheldon	15345 Beaumont Hwy 	29.8586111	-95.1602778	17-Apr-2002
482010552	0552	HOUSTON	12	Baytown Wetlands Center	1724 Market Street 	29.7330556	-94.9847222	11-Jun-2003
482010553	0553	HOUSTON	12	Crosby Library	135 Hare Road 	29.9208333	-95.0683333	16-Jun-2003
482010554	0554	HOUSTON	12	West Houston	16719 Clay Road 	29.8330556	-95.6569444	24-Dec-2003
482010556	0556	HOUSTON	12	La Porte Sylvan Beach	636 Bayshore Drive 	29.6552778	-95.0097222	01-Jan-2004
482010557	0557	HOUSTON	12	Mercer Arboretum	22306 Aldine Westfield Road 	30.0380556	-95.3811111	12-Feb-2004
482010558	0558	HOUSTON	12	Tom Bass	15108 Cullen Blvd 	29.5894444	-95.3536111	06-Feb-2004
482010559	0559	HOUSTON	12	Katy Park	24927 Morton Road 	29.8105556	-95.8061111	12-Mar-2004
482010560	0560	HOUSTON	12	Atascocita	2302 Atascocita Rd 	29.9619440	-95.2350000	29-Jul-2004
482010561	0561	HOUSTON	12	Meyer Park	7700 Cypresswood Dr 	30.0116670	-95.5225000	30-Jul-2004
482010562	0562	HOUSTON	12	Bunker Hill Village	11977 Memorial Drive 	29.7783330	-95.5380560	08-Oct-2004
482010563	0563	HOUSTON	12	Huffman Wolf Road	2100 Wolf Road 	30.0578600	-95.0614700	21-Sep-2010
482010617	0617	HOUSTON	12	Wallisville Road	4727 Wallisville Road 	29.8213890	-94.9900000	30-May-2003
482010669	0669	HOUSTON	12	TPC FTIR South	8600 Park Place Blvd 	29.6947220	-95.2527780	13-Jan-2006
482010670	0670	HOUSTON	12	TPC FTIR North	8600 Park Place Blvd 	29.7019440	-95.2572220	01-Jan-2006
482010671	0671	HOUSTON	12	Goodyear GC	9728 West Road 	29.7061110	-95.2550000	04-May-2006
482010673	0673	HOUSTON	12	Goodyear Houston Site #2	2000 Goodyear Dr 	29.7023000	-95.2566970	01-Oct-2006
482010695	0695	HOUSTON	12	UH Moody Tower	4401 Wheeler Street 	29.7176000	-95.3414000	31-Mar-2010
482010803	0114, 0603	HOUSTON	12	HRM #3 Haden Rd	1504 1/2 Haden Road 	29.7647953	-95.1783710	14-Nov-1992
482010807	0607	HOUSTON	12	HRM 7 BAYTOWN	4621-4639 W Baker Rd 	29.7692640	-95.0175090	29-Nov-1999
482011015	0165, 1015	HOUSTON	12	Lynchburg Ferry	4364 Independence Parkway South 	29.7588890	-95.0794440	24-Apr-2003
482011017	1017	HOUSTON	12	Baytown Garth	8622 Garth Road Unit A 	29.8233450	-94.9838700	05-Jun-2012
482011034	0001	HOUSTON	12	Houston East	1262 1/2 Mae Drive 	29.7679965	-95.2205822	01-Jan-1973
482011035	0055, 0113, 0304, 0403	HOUSTON	12	Clinton	9525 1/2 Clinton Dr 	29.7337409	-95.2576048	01-Jan-1972
482011039	0035, 0139, 0235, 1001, 3000	HOUSTON	12	Houston Deer Park #2	4514 1/2 Durant Street 	29.6700585	-95.1285103	22-Oct-1996
482011043	0243	HOUSTON	12	La Porte Airport C243	La Porte Airport 2434 Buchanan Street	29.6720000	-95.0647000	09-Jun-2005
482011049	1049	HOUSTON	12	Pasadena North	702 Light Co Service Road 	29.7166060	-95.2226030	01-Jul-2008
482011050	0045	HOUSTON	12	Seabrook Friendship Park	4522 Park Rd 	29.5830505	-95.0155435	29-Jul-2001
482011052	1052	HOUSTON	12	Houston North Loop	822 North Loop 	29.8145300	-95.3876900	13-Apr-2015
482011066	1066	HOUSTON	12	Houston Southwest Freeway	5617 Westward Avenue 	29.7216062	-95.4926533	22-Jan-2014
482011611	1611	HOUSTON	12	UH Launch Trailer	4604 Calhoun Rd 	29.7239970	-95.3391430	12-Feb-2019
482011614	1614	HOUSTON	12	HRM 16-Deer Park	600-658 Luella Ave 	29.7084870	-95.1141180	01-Feb-2021
482016000	0175, 1020	HOUSTON	12	Cesar Chavez	4829 A  Galveston Rd 	29.6843603	-95.2535982	11-Mar-2004
482911626	1626	HOUSTON	12	Liberty Sam Houston Library	404 FM 1011 	30.0966000	-94.7634000	26-Mar-2021
483390078	0078	HOUSTON	12	Conroe Relocated	9472A Hwy 1484 	30.3503017	-95.4251278	01-Oct-2001
483390698	0698	HOUSTON	12	UH WG Jones Forest	5203 Magnolia Parkway FM 1488 	30.2362000	-95.4832000	31-Mar-2010
