Date,C1_3,C8_3,C35_3,C45_3,C78_3,C403_3,C416_3,C1034_3
20100601,12.55375,13.22916667,12.47583333,11.71791667,17.254375,14.07041667,11.0625,9.135
20100602,10.74666667,11.74,9.085,8.94,14.10791667,11.69583333,8.579583333,6.452916667
20100603,5.74125,6.056666667,5.3375,5.067916667,2.7625,7.552083333,4.841304348,3.7225
20100604,10.97958333,10.16541667,11.0675,11.93166667,7.876956522,11.79,10.09875,8.070416667
20100605,14.415,14.1325,14.40041667,15.54708333,14.30458333,16.22541667,8.968888889,11.29166667
20100606,22.05458333,25.51916667,22.10125,19.46666667,31.315,21.1475,,14.13958333
20100607,12.62,13.73833333,12.54541667,11.67416667,17.34666667,14.13833333,,6.759166667
20100608,18.27708333,15.90875,16.8075,16.11833333,8.73125,19.1125,,15.07375
20100609,25.81416667,26.61333333,26.51791667,22.44,23.005,27.80083333,22.39357143,20.18583333
20100610,22.41166667,23.48875,24.6425,23.41291667,26.38125,24.23625,25.20541667,18.56791667
20100611,17.63791667,18.62291667,18.01916667,17.34125,21.88375,19.84125,18.96166667,13.26375
20100612,7.79625,8.295833333,7.644166667,8.512083333,9.379166667,8.6975,8.332083333,6.172916667
20100613,10.06833333,10.24125,10.18291667,11.69416667,12.63833333,10.62333333,11.41333333,7.988333333
20100614,10.86545455,9.729166667,9.620416667,10.08958333,11.79333333,11.52416667,10.09583333,7.647916667
20100615,12.10791667,11.1775,9.675416667,10.22541667,13.55708333,12.52833333,9.95,8.3675
20100616,10.62875,10.3675,8.99875,8.929583333,9.966666667,11.40458333,8.877916667,6.942083333
20100617,12.04208333,10.45916667,10.52291667,10.21666667,10.90708333,12.66458333,10.66541667,7.72
20100618,9.832916667,9.352083333,8.744166667,8.57125,11.04166667,10.99125,8.760833333,6.4125
20100619,8.732916667,7.943333333,7.460833333,7.494166667,7.857083333,9.161666667,7.342083333,5.711666667
20100620,9.34,9.158333333,8.018333333,8.186666667,7.851666667,9.297916667,7.558333333,6.694166667
20100621,11.595,10.72041667,9.475416667,9.318333333,10.05375,10.2747619,8.727083333,6.62
20100622,12.59583333,12.79541667,10.58833333,10.38333333,10.35458333,13.04208333,10.1225,8.76125
20100623,13.20291667,12.05409091,9.862916667,9.01625,11.97625,12.85583333,9.991666667,6.797916667
20100624,9.384166667,7.631666667,6.330416667,4.478333333,7.171666667,8.825833333,5.460833333,3.8825
20100625,10.49791667,9.456666667,7.819583333,6.210416667,7.105416667,10.57083333,6.99,4.187916667
20100626,7.737083333,7.857083333,6.859166667,6.242916667,5.921666667,8.073333333,6.460416667,4.48875
20100627,7.66625,8.105416667,7.404166667,7.447916667,7.75875,7.550833333,6.764583333,5.35125
20100628,9.079583333,9.761666667,6.247916667,4.936666667,6.472083333,9.183478261,7.446666667,3.685833333
20100629,7.640416667,6.280416667,6.330833333,6.325238095,4.24125,7.14625,7.636363636,4.184444444
20100630,7.337916667,7.282083333,5.206521739,5.830833333,5.32875,6.974166667,8.18875,
20100701,8.35125,7.409583333,7.096666667,8.503333333,4.845833333,8.8275,8.41625,15.78777778
20100702,12.89,9.085833333,17.56733333,16.785,7.814166667,13.37791667,15.38615385,14.155
20100703,11.14875,9.186666667,10.23208333,9.74125,6.27125,11.16541667,,8.361304348
20100704,12.71791667,13.65666667,13.40375,12.75875,12.4825,12.3,,8.819583333
20100705,10.49333333,13.10083333,8.65375,7.094583333,11.05727273,10.28416667,,5.29625
20100706,10.12833333,11.43291667,10.89375,9.317083333,8.542083333,9.869583333,6.53,7.47125
20100707,11.64791667,7.816086957,10.69,11.015,6.039583333,10.90791667,7.24,8.375833333
20100708,19.195,15.62708333,16.94166667,16.59708333,15.75583333,19.25541667,,13.57045455
