Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Houston East C1/G316,2,Reg,58,78,58,56,61,52,73,44,47,35,54,61,41,33,31,23,20,19,22,24,22,29,30,25,29,31,29,37,46,44
Houston Aldine C8/AF108/X150,2,Reg,56,83,55,55,51,52,68,44,46,39,60,61,44,35,34,21,18,17,19,22,19,30,30,25,27,27,NV,40,46,57
Channelview C15/AH115,3,Reg,50,NV,NA,NA,59,55,69,41,41,38,44,58,33,29,30,23,19,20,22,21,21,33,31,23,27,28,25,29,39,30
Northwest Harris Co. C26/A110/X154,2,Reg,78,94,79,70,55,62,80,51,NV,NV,60,69,49,35,36,23,20,20,23,26,22,35,40,35,32,29,35,59,68,74
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,48,69,61,44,68,70,61,40,43,36,45,56,33,27,28,22,18,20,20,21,20,33,29,22,16,28,30,40,38,44
Seabrook Friendship Park C45,1,Reg,44,72,68,45,66,75,65,NV,NV,37,41,56,28,27,27,19,16,18,19,21,20,28,30,22,24,27,22,29,26,28
Houston Bayland Park C53/A146,1,Reg,58,84,59,56,67,78,59,39,42,34,43,46,35,29,30,18,15,17,19,21,17,35,30,23,25,25,25,37,42,47
Conroe Relocated C78/A321,1,Reg,55,80,59,54,52,55,80,64,64,58,60,62,63,42,42,31,30,25,27,33,29,38,55,40,41,36,46,44,40,52
Houston Regional Office C81,1,Reg,58,80,60,51,61,59,57,40,41,34,49,50,34,26,24,18,13,13,20,21,20,31,26,19,25,25,25,34,40,43
Manvel Croix Park C84,1,Reg,56,84,57,57,78,90,58,40,45,36,41,46,36,30,29,22,18,19,22,25,24,44,31,25,29,30,27,37,41,36
Clinton C403/C304/AH113,3,Reg,57,73,61,53,64,62,57,34,38,27,48,55,34,25,24,18,16,17,20,18,18,33,24,18,26,29,23,34,40,42
Houston North Wayside C405/C1033,1,Reg,53,73,48,51,47,47,55,38,40,32,50,56,37,28,28,19,15,NV,21,22,20,28,28,23,27,29,28,37,49,48
Houston Monroe C406,1,Reg,51,68,57,43,66,61,57,36,37,32,43,43,31,25,25,20,17,16,19,20,19,37,26,20,24,26,24,30,29,38
Lang C408,2,Reg,59,88,58,68,57,63,67,41,41,32,48,53,40,33,33,20,17,23,21,21,19,28,29,24,27,26,27,47,55,52
Houston Croquet C409,2,Reg,55,83,54,52,73,81,57,39,42,35,42,44,34,28,29,20,16,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston Westhollow C410/C3003,1,Reg,56,76,59,61,65,76,58,42,41,38,43,45,36,28,29,20,17,17,20,21,19,33,34,26,26,26,29,41,51,44
Houston Texas Avenue C411,1,Reg,56,78,58,59,61,NV,54,35,35,28,51,52,33,24,23,15,14,16,19,18,16,31,26,19,25,27,20,34,42,41
Park Place C416,1,Reg,53,71,55,44,61,61,55,36,37,31,44,48,33,26,26,20,16,16,19,21,19,33,27,22,25,26,23,31,34,40
Sheldon C551,1,Non,54,75,55,44,53,31,40,26,27,25,38,47,30,25,24,20,17,19,21,19,NV,NV,28,22,25,29,22,32,41,41
Baytown Wetlands Center C552,1,Non,45,66,63,44,63,65,66,40,40,37,39,58,30,27,26,17,15,18,19,21,18,29,30,22,27,27,24,27,27,25
Crosby Library C553,1,Non,54,73,57,53,NV,NV,77,51,47,46,46,62,48,37,36,28,24,27,26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Houston C554,1,Non,65,86,65,74,63,71,65,45,44,40,48,52,42,31,31,20,18,18,21,23,21,33,35,27,28,27,31,53,65,57
La Porte Sylvan Beach C556,1,Non,45,72,69,44,64,82,65,40,43,39,42,57,29,26,28,19,15,19,19,21,20,27,30,24,27,28,24,29,25,26
Mercer Arboretum C557,1,Non,62,86,63,55,54,52,89,54,57,49,74,66,55,42,41,25,23,26,22,26,22,31,35,31,32,31,36,45,49,62
