Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Houston East C1/G316,2,Reg,51,33,34,42,49,54,50,76,88,76,75,80,61,61,83,56,54,33,59,79,66,66,64,82,49,40,32,45,40,41
Houston Aldine C8/AF108/X150,2,Reg,43,31,36,43,53,55,54,73,78,69,72,78,62,63,85,62,44,28,64,78,60,59,63,72,46,44,40,43,38,47
Channelview C15/AH115,3,Reg,NV,35,36,43,56,54,52,68,86,76,75,70,48,59,68,52,53,32,66,76,63,66,68,84,49,41,29,39,47,48
Northwest Harris Co. C26/A110/X154,2,Reg,46,37,39,47,51,56,60,80,71,68,71,70,63,66,85,70,43,34,57,70,66,70,63,68,46,40,36,40,38,55
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,50,38,36,38,54,62,61,75,86,77,70,69,50,57,77,51,54,33,56,74,67,63,71,76,45,36,26,38,42,52
Seabrook Friendship Park C45,1,Reg,47,38,34,39,56,54,66,69,81,72,66,65,39,56,63,53,55,36,54,65,63,69,66,72,49,36,24,29,47,50
Houston Bayland Park C53/A146,1,Reg,56,39,37,43,52,69,65,87,75,70,68,70,54,55,70,54,41,27,52,71,NV,NA,NV,69,39,35,28,36,34,57
Conroe Relocated C78/A321,1,Reg,39,34,36,46,52,51,54,65,71,65,64,66,63,71,58,69,51,41,56,66,51,53,52,56,39,41,32,NV,NA,NV
Houston Regional Office C81,1,Reg,54,37,41,41,55,60,52,76,80,71,72,73,56,57,76,52,41,31,56,72,67,74,68,76,46,37,29,41,37,49
Manvel Croix Park C84,1,Reg,53,48,NV,47,63,89,80,108,88,79,73,69,52,62,75,58,45,36,54,67,84,85,78,80,48,38,29,39,40,75
Clinton C403/C304/AH113,3,Reg,50,34,36,39,50,56,52,73,70,67,67,57,45,48,72,48,44,29,47,61,64,71,66,70,41,29,21,31,26,50
Houston North Wayside C405/C1033,1,Reg,44,31,38,42,54,53,49,72,76,69,73,74,58,58,85,56,38,28,54,73,58,60,65,74,45,39,31,38,35,44
Houston Monroe C406,1,Reg,46,37,35,38,49,63,50,79,71,65,60,56,43,50,64,47,45,31,44,58,63,65,66,67,42,31,24,33,34,46
Lang C408,2,Reg,43,31,33,40,47,56,54,74,66,65,65,66,56,57,75,54,36,28,58,73,61,65,59,67,42,39,32,34,32,48
Houston Croquet C409,2,Reg,58,43,39,43,53,73,66,89,78,71,67,67,52,55,68,52,41,30,51,68,76,79,67,72,42,36,28,36,35,58
Houston Westhollow C410/C3003,1,Reg,56,39,37,42,48,62,65,84,71,67,65,67,56,54,68,53,42,27,55,68,73,74,62,65,40,33,29,35,34,60
Houston Texas Avenue C411,1,Reg,49,35,36,39,51,59,52,72,71,66,68,64,48,48,68,48,36,29,52,69,63,66,61,68,42,31,25,33,29,47
Park Place C416,1,Reg,51,35,33,37,49,60,52,76,75,67,65,63,46,51,70,50,45,30,51,64,69,NV,62,69,41,32,24,33,33,47
Sheldon C551,1,Non,45,33,36,43,52,56,53,68,83,74,74,74,54,62,69,55,50,29,63,69,61,61,66,80,49,43,32,44,44,47
Baytown Wetlands Center C552,1,Non,49,36,34,43,59,53,56,67,77,72,65,67,38,52,61,50,50,34,56,72,61,57,65,74,48,34,23,32,44,50
Crosby Library C553,1,Non,47,33,34,41,55,53,51,64,84,75,77,78,60,66,65,59,51,NA,NA,NV,61,58,61,82,52,45,35,46,64,45
West Houston C554,1,Non,54,40,39,44,50,56,61,84,72,69,70,69,60,60,78,58,40,27,56,68,71,72,60,67,41,35,31,35,36,57
La Porte Sylvan Beach C556,1,Non,46,36,35,40,56,50,63,65,79,71,65,63,39,53,62,50,53,37,57,66,60,67,68,70,47,36,23,28,NV,NV
Mercer Arboretum C557,1,Non,44,33,36,44,54,54,56,71,75,68,72,74,65,71,84,69,44,32,63,76,60,63,62,71,45,46,43,42,33,49
Tom Bass C558,1,Non,49,41,39,41,56,75,67,92,79,71,68,61,44,55,69,53,41,31,45,62,75,77,66,71,41,32,26,32,34,55
Katy Park C559,1,Non,52,40,35,41,46,63,62,79,69,65,65,61,55,52,68,52,38,28,49,66,66,70,58,62,38,31,NV,NV,31,42
Atascocita C560,1,Non,43,32,35,41,51,53,51,68,79,70,72,77,60,68,71,63,48,36,67,68,59,58,61,76,49,NV,40,45,41,44
Meyer Park C561,1,Non,43,32,35,45,48,54,54,69,66,63,66,66,57,63,83,65,45,33,58,67,60,65,58,65,42,40,36,38,52,49
Bunker Hill Village C562,1,Non,55,38,39,44,52,66,63,83,75,70,68,71,57,58,74,56,40,26,55,72,71,74,65,69,41,37,32,36,33,59
Huffman Wolf Road C563,1,Non,44,31,35,42,55,53,50,61,84,73,74,79,61,NV,NA,NA,52,38,72,63,NV,NA,NA,80,53,47,39,NV,NA,NA
Clear Brook High School C570,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA
Clear Creek High School C571,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,75,50,36,23,31,46,53
Clear Lake High School C572,1,Non,46,38,36,41,55,61,62,NV,NV,56,52,51,34,43,53,NV,NA,NA,NA,NA,NA,NV,87,77,48,37,24,35,46,54
HRM-3 Haden Road C603/A114,1,Non,48,33,33,41,50,56,53,73,85,75,71,76,53,53,79,51,50,29,57,80,64,68,66,78,44,35,26,35,32,44
Wallisville Road C617,1,Non,54,38,37,46,62,55,55,66,91,84,83,82,53,62,67,56,56,38,72,74,64,66,66,92,52,40,28,43,51,50
Danciger C618,1,Non,51,45,47,44,57,83,80,89,80,75,72,63,47,56,58,57,40,29,43,57,67,79,78,76,38,32,22,28,38,78
Mustang Bayou C619,1,Non,45,NA,NA,NA,NA,NV,46,61,54,51,47,NA,NA,NV,67,58,56,33,50,55,66,75,93,79,49,38,23,27,43,NV
Texas City 34th St. C620,1,Non,41,35,36,43,57,55,63,67,78,73,66,64,34,51,60,52,56,39,46,54,62,72,66,72,52,32,16,20,41,54
UH Moody Tower C695,1,Non,48,31,32,41,48,58,49,73,72,65,61,63,63,64,83,61,54,40,66,82,78,85,75,83,51,43,NV,NV,42,57
U of H-Sugarland C696,1,Non,52,43,38,43,49,71,77,94,76,69,68,70,55,55,64,53,45,31,51,69,77,84,65,68,41,34,30,36,36,73
UH Coastal Center C697,1,Non,43,35,38,44,59,60,63,75,77,73,65,62,36,53,63,54,55,39,46,51,63,61,82,72,48,34,21,25,42,54
