Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Houston East C1/G316,2,Reg,41,28,NA,NA,NA,NA,NV,54,38,40,48,28,37,32,26,27,23,23,47,74,45,53,32,25,21,37,43,42,37,50,36
Houston Aldine C8/AF108/X150,2,Reg,50,31,34,32,31,53,72,53,39,39,43,31,38,37,24,30,33,NV,38,69,44,52,35,25,23,44,47,47,40,47,40
Channelview C15/AH115,3,Reg,NV,NA,NV,25,NV,45,72,59,37,NV,NV,NV,NV,NV,22,NV,NV,NV,39,68,41,47,28,25,18,NV,39,48,41,50,NV
Northwest Harris Co. C26/A110/X154,2,Reg,33,33,35,34,35,50,73,51,30,36,25,30,29,29,23,29,29,21,31,69,48,57,42,30,24,40,38,49,41,47,NV
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,28,23,27,25,29,74,69,44,29,33,36,25,29,27,22,21,26,22,53,81,58,52,31,24,20,38,47,52,42,56,32
Seabrook Friendship Park C45,1,Reg,24,22,24,21,28,79,55,42,28,29,28,25,25,26,17,18,26,21,49,89,58,49,31,22,22,39,54,53,40,62,28
Houston Bayland Park C53/A146,1,Reg,31,20,25,23,29,71,63,41,30,33,36,23,31,25,17,22,24,21,43,74,65,68,44,21,19,32,62,56,45,47,33
Conroe Relocated C78/A321,1,Reg,49,48,48,43,32,38,51,51,NV,33,37,39,30,33,35,43,32,21,36,60,40,50,35,37,29,42,38,50,43,42,47
Manvel Croix Park C84,1,Reg,25,21,28,24,27,63,54,36,24,28,31,20,26,25,20,23,25,19,41,81,80,60,37,22,21,32,74,70,56,57,35
Clinton C403/C304/AH113,3,Reg,28,20,23,23,26,61,81,37,26,27,41,24,26,21,19,20,18,19,48,73,53,55,33,23,18,35,44,50,41,45,27
Houston North Wayside C405/C1033,1,Reg,43,25,28,26,24,50,75,47,36,34,45,25,34,28,20,25,22,20,42,69,45,49,29,21,19,35,42,47,40,44,32
Houston Monroe C406,1,Reg,27,23,27,24,29,76,64,33,27,32,35,23,29,27,23,22,25,20,48,77,65,54,33,20,19,35,54,50,44,56,32
Lang C408,2,Reg,38,28,31,32,33,68,81,54,33,37,39,29,NV,30,22,27,30,23,39,71,51,62,39,24,21,37,55,49,41,47,38
Houston Croquet C409,2,Reg,24,18,24,22,29,69,56,36,27,31,36,21,28,27,17,22,24,21,41,75,73,58,37,20,19,30,68,58,47,49,32
Houston Westhollow C410/C3003,1,Reg,27,23,26,23,29,64,59,36,27,33,27,22,28,24,19,21,23,22,34,67,63,67,46,21,17,27,47,51,40,43,33
Houston Texas Avenue C411,1,Reg,36,23,27,26,33,69,86,43,33,34,41,26,33,29,20,22,27,21,50,75,55,59,37,25,21,37,53,54,41,48,32
Park Place C416,1,Reg,30,23,27,24,29,73,77,39,29,33,37,23,31,26,22,24,26,22,50,76,61,54,37,24,21,36,48,52,42,51,33
Sheldon C551,1,Non,41,29,30,30,23,40,63,56,38,38,39,26,37,31,24,24,27,23,33,61,38,45,28,23,17,31,33,40,39,47,34
Baytown Wetlands Center C552,1,Non,31,23,26,26,28,62,65,40,33,36,46,27,29,31,19,23,29,26,44,76,50,49,29,23,20,36,47,53,42,58,30
Crosby Library C553,1,Non,NA,NA,NA,NA,NA,NA,NA,49,38,39,30,24,31,29,19,20,22,20,16,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Houston C554,1,Non,28,26,29,25,32,61,72,42,27,33,30,25,29,26,20,25,25,20,32,67,59,65,48,22,19,29,42,49,39,43,35
La Porte Sylvan Beach C556,1,Non,26,24,26,25,30,78,58,44,30,34,35,26,29,30,20,22,28,22,49,88,56,50,31,23,16,27,38,38,34,49,22
Mercer Arboretum C557,1,Non,54,40,42,42,31,47,67,66,39,39,37,36,36,36,29,38,37,21,34,64,41,52,30,27,25,48,41,49,41,46,44
Tom Bass C558,1,Non,22,19,25,22,28,68,53,31,23,27,30,21,26,23,18,20,22,18,41,74,68,53,34,20,17,31,53,56,45,48,30
Katy Park C559,1,Non,23,19,25,23,27,44,53,34,24,31,27,23,26,23,17,19,23,21,25,65,60,64,50,21,18,27,35,47,37,43,33
Atascocita C560,1,Non,52,36,37,38,30,43,62,58,42,41,47,32,40,39,29,33,37,22,35,64,42,49,34,28,24,43,38,47,39,45,44
Meyer Park C561,1,Non,41,33,36,37,34,49,70,56,30,37,30,31,30,30,27,32,30,18,32,62,43,50,36,27,22,41,42,47,41,43,40
Bunker Hill Village C562,1,Non,33,24,29,27,29,68,63,43,30,35,34,26,32,27,20,24,25,23,38,69,58,65,42,22,19,35,58,55,45,47,35
Huffman Wolf Road C563,1,Non,55,44,42,43,35,43,58,56,54,52,48,41,46,49,35,43,46,28,33,66,43,56,36,35,24,36,NV,NV,43,45,46
Clear Brook High School C570,1,Non,25,22,27,23,31,79,57,34,25,28,30,24,29,26,17,18,24,19,57,88,63,54,33,24,18,41,68,61,NV,NA,NA
Clear Lake High School C572,1,Non,24,22,23,13,NV,81,58,40,26,29,30,22,26,27,NV,17,27,16,54,97,63,56,35,25,20,43,74,62,NV,NA,NA
HRM-3 Haden Road C603/A114,1,Non,40,26,28,26,28,58,89,51,36,35,44,28,35,31,25,24,24,24,46,76,51,55,34,25,18,39,46,49,42,54,34
Wallisville Road C617,1,Non,50,29,30,32,29,48,75,45,45,43,48,30,41,37,22,26,40,27,39,70,47,50,32,26,22,35,36,51,43,52,33
Danciger C618,1,Non,18,15,20,16,16,34,35,27,20,17,20,17,21,19,15,15,18,16,30,61,61,49,30,18,17,27,53,63,43,48,27
Mustang Bayou C619,1,Non,19,21,24,19,28,48,41,30,24,26,19,22,25,23,18,17,23,18,38,61,61,49,29,22,21,32,67,63,50,51,28
Texas City 34th St. C620,1,Non,21,18,22,21,39,79,59,43,27,24,22,21,26,24,17,18,24,21,44,77,67,55,35,22,26,43,61,60,50,62,NA
UH Moody Tower C695,1,Non,27,18,22,12,17,28,27,23,28,34,36,16,25,18,17,21,23,19,49,73,NV,54,34,23,18,35,50,48,37,44,28
U of H-Sugarland C696,1,Non,21,NV,NV,21,23,50,47,31,25,30,25,19,25,23,17,16,21,20,34,69,NV,NV,41,20,16,24,45,43,31,34,21
UH Coastal Center C697,1,Non,20,NV,NV,20,34,68,52,40,27,26,22,21,26,25,18,19,24,19,43,65,56,49,30,21,18,36,57,55,46,52,26
UH WG Jones Forest C698,1,Non,50,NV,NV,47,34,50,60,60,35,38,37,39,33,35,34,42,35,24,38,66,44,NV,NV,38,29,50,46,54,47,47,NV
UH West Liberty C699,1,Non,45,NV,NV,34,28,36,50,47,48,45,40,34,40,NV,NV,33,38,23,26,58,38,NV,34,32,21,31,33,47,40,42,43
Lynchburg Ferry C1015/A165,1,Reg,34,26,29,25,25,50,77,47,36,36,40,27,36,30,23,22,28,22,44,69,44,46,29,27,21,35,38,44,38,50,33
Lake Jackson C1016,1,Reg,15,15,20,18,21,33,39,32,15,19,17,18,21,18,15,15,19,15,35,NV,61,46,NV,17,17,31,61,71,NV,NA,NV
Baytown Garth C1017,1,Reg,48,28,28,31,29,49,73,42,44,42,47,30,39,36,21,25,38,27,37,67,45,48,31,25,21,34,35,49,40,50,33
Galveston 99th St. C1034/A320/X183,1,Reg,12,14,16,18,33,81,43,33,19,18,19,19,22,20,16,19,20,18,31,56,51,48,28,23,25,35,42,50,41,51,26
