Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Houston East C1/G316,2,Reg,19,25,28,31,29,41,47,37,45,62,59,22,14,30,45,65,40,40,45,57,62,60,62,63,52,54,45,31,17,34
Houston Aldine C8/AF108/X150,2,Reg,19,30,31,38,36,52,55,39,45,57,65,23,20,31,42,58,43,45,NV,NV,68,47,65,66,53,58,55,31,13,36
Channelview C15/AH115,3,Reg,NV,NV,29,30,NV,50,NV,39,43,56,54,18,18,30,43,53,43,41,40,52,55,48,48,59,47,45,38,NV,NV,37
Northwest Harris Co. C26/A110/X154,2,Reg,22,25,26,30,29,33,42,44,48,62,80,37,20,39,42,38,40,48,49,62,81,62,73,63,55,62,68,NV,14,38
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,19,20,20,24,21,30,32,40,47,57,56,22,21,33,49,46,45,43,48,64,53,43,49,59,49,49,41,26,15,35
Seabrook Friendship Park C45,1,Reg,19,20,19,21,20,27,29,42,45,57,58,21,25,40,52,62,49,42,49,61,58,41,46,63,56,54,40,28,18,33
Houston Bayland Park C53/A146,1,Reg,17,24,24,26,25,31,36,47,53,72,61,21,21,27,50,57,43,49,52,63,65,76,64,54,51,51,48,26,13,37
Conroe Relocated C78/A321,1,Reg,27,29,33,38,40,41,59,42,46,52,63,48,28,34,42,40,39,45,43,53,56,51,52,84,64,68,40,29,13,32
Manvel Croix Park C84,1,Reg,20,21,22,23,22,25,25,55,63,70,65,24,28,40,61,65,53,59,71,87,68,60,59,62,57,57,53,24,19,43
Clinton C403/C304/AH113,3,Reg,16,21,25,21,19,28,34,41,45,61,55,16,17,33,44,57,41,46,46,59,56,66,61,49,41,46,42,29,13,33
Houston North Wayside C405/C1033,1,Reg,12,23,26,30,29,40,52,39,45,56,61,18,14,NV,NA,NV,41,42,39,50,64,53,63,60,50,52,45,NV,11,33
Houston Monroe C406,1,Reg,19,21,24,25,23,27,31,45,52,64,60,22,25,32,56,57,48,49,53,65,56,54,54,55,51,52,45,23,17,36
Lang C408,2,Reg,20,27,31,33,33,39,47,43,50,64,64,20,19,30,48,59,43,45,51,64,74,63,79,64,54,54,55,32,17,39
Houston Croquet C409,2,Reg,17,23,24,25,23,29,33,49,53,77,60,23,24,31,50,58,46,51,51,63,64,65,58,54,51,48,46,22,17,36
