Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Houston East C1/G316,2,Reg,46,31,34,46,39,43,26,27,22,NV,NA,NA,NA,NA,NV,26,20,23,17,21,23,33,34,51,54,42,40,32,38,52,19
Houston Aldine C8/AF108/X150,2,Reg,42,28,35,37,43,44,28,31,25,30,32,42,40,54,49,23,18,24,18,20,21,34,35,60,45,38,35,36,33,46,20
Channelview C15/AH115,3,Reg,47,32,32,37,32,37,25,26,23,31,43,50,46,52,43,26,20,21,18,23,23,30,33,63,43,38,34,29,36,42,18
Northwest Harris Co. C26/A110/X154,2,Reg,40,31,37,44,52,50,31,32,24,24,32,50,49,71,46,29,22,28,27,28,25,41,40,52,50,46,46,47,46,49,26
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,47,32,34,41,38,35,21,23,21,25,36,52,58,46,36,22,19,21,17,21,20,27,28,40,61,48,41,34,42,40,21
Seabrook Friendship Park C45,1,Reg,47,33,40,39,35,34,20,20,19,21,34,57,50,48,36,21,19,24,16,21,18,25,25,36,61,48,NV,36,44,36,21
Houston Bayland Park C53/A146,1,Reg,44,39,45,53,35,39,22,23,21,23,36,64,68,65,35,22,18,23,16,20,18,26,28,33,67,55,51,38,35,42,20
Conroe Relocated C78/A321,1,Reg,40,34,37,37,37,73,47,49,33,32,35,52,44,55,73,35,24,37,29,34,37,63,55,46,41,42,43,45,44,53,32
Manvel Croix Park C84,1,Reg,48,44,51,54,34,37,21,23,20,24,32,71,82,52,30,23,18,21,19,20,19,26,27,26,76,62,42,35,40,41,22
Clinton C403/C304/AH113,3,Reg,42,32,34,45,26,28,17,18,17,22,32,48,49,47,29,NV,17,12,11,13,14,21,25,44,54,42,43,27,38,41,18
Houston North Wayside C405/C1033,1,Reg,NV,32,38,40,35,41,NV,25,22,27,44,52,48,58,46,26,18,20,15,16,19,33,34,62,51,43,37,35,37,48,18
