Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Houston East C1/G316,2,Reg,60,65,102,79,71,84,70,56,64,50,32,32,27,27,17,18,16,19,24,21,20,20,34,53,41,22,31,27,19,21
Houston Aldine C8/AF108/X150,2,Reg,65,64,108,NV,NV,73,86,68,67,66,35,40,33,28,20,19,NV,19,33,26,23,33,40,73,55,32,34,30,25,25
Channelview C15/AH115,3,Reg,57,55,93,64,58,67,64,57,NV,NV,25,24,21,22,17,16,15,16,25,17,19,13,19,49,39,23,30,25,20,19
Northwest Harris Co. C26/A110/X154,2,Reg,49,58,78,91,59,67,57,36,42,48,32,36,33,27,24,18,22,17,23,22,23,31,55,57,37,23,24,25,21,22
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,64,64,81,61,60,70,58,42,54,36,22,26,24,25,19,17,16,16,20,16,17,16,28,40,29,19,26,26,17,19
Seabrook Friendship Park C45,1,Reg,NV,92,83,63,61,72,57,45,48,34,22,29,27,25,21,21,17,16,21,16,20,17,28,34,32,18,25,24,18,24
Houston Bayland Park C53/A146,1,Reg,NA,78,63,63,66,79,49,44,55,40,23,25,22,19,19,18,17,15,16,13,13,17,21,28,28,17,20,20,15,17
Conroe Relocated C78/A321,1,Reg,54,50,69,62,50,53,73,41,43,70,51,39,34,28,21,19,24,18,26,26,36,52,40,65,51,28,29,37,26,24
Manvel Croix Park C84,1,Reg,85,79,66,65,61,72,50,40,51,36,25,26,28,24,NV,22,23,19,21,19,19,18,22,30,32,20,27,26,19,26
Clinton C403/C304/AH113,3,Reg,67,69,72,70,71,84,59,46,52,38,23,27,28,26,21,17,13,15,15,16,18,14,26,36,29,16,NV,NA,NV,14
Houston North Wayside C405/C1033,1,Reg,56,58,88,73,56,66,66,52,54,44,25,29,24,23,15,15,10,13,20,17,16,21,29,50,33,18,24,21,14,16
Houston Monroe C406,1,Reg,67,72,59,61,55,77,44,38,51,33,23,23,23,22,20,18,19,16,20,16,17,14,25,28,26,18,24,23,16,18
Lang C408,2,Reg,NV,71,89,86,70,91,61,53,56,56,32,28,27,23,19,16,14,15,23,20,18,21,34,46,42,23,26,26,21,21
Houston Croquet C409,2,Reg,70,79,64,64,62,72,49,42,54,37,25,26,26,22,24,19,19,18,21,18,18,20,22,31,30,20,26,25,17,22
Houston Westhollow C410/C3003,1,Reg,62,70,72,69,72,74,48,43,54,46,29,28,29,25,27,20,20,19,23,19,21,21,27,33,35,24,25,26,21,22
Houston Texas Avenue C411,1,Reg,NV,66,72,67,66,85,53,47,55,41,24,26,24,22,17,16,15,14,19,16,18,17,29,35,32,18,25,23,15,17
Park Place C416,1,Reg,71,74,70,70,69,87,53,44,57,41,26,27,27,26,21,19,19,18,22,19,20,19,32,36,33,20,27,24,16,20
Sheldon C551,1,Non,NA,NA,82,66,50,58,65,59,59,53,31,26,21,22,17,15,14,18,22,18,20,20,22,55,40,24,NV,NA,NA,NA
Baytown Wetlands Center C552,1,Non,53,60,74,NV,NV,57,53,49,55,36,23,28,25,24,22,21,14,17,22,18,22,20,22,32,36,21,31,33,16,19
Crosby Library C553,1,Non,48,42,70,64,45,53,65,61,59,57,31,26,21,22,16,15,12,17,27,19,23,22,24,38,39,26,30,24,20,21
