Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Houston East C1/G316,2,Reg,25,16,36,35,47,33,45,58,60,50,39,29,21,21,26,24,20,22,46,22,15,30,26,24,23,34,23,25,21,17
Houston Aldine C8/AF108/X150,2,Reg,31,28,39,42,NV,37,54,62,70,55,46,36,22,26,34,33,25,26,46,29,23,33,35,24,19,34,31,31,26,23
Channelview C15/AH115,3,Reg,24,20,30,32,50,35,46,52,61,50,35,23,19,NV,27,25,22,22,40,23,17,30,26,25,20,32,27,24,23,16
Northwest Harris Co. C26/A110/X154,2,Reg,36,35,41,42,41,36,59,62,76,58,50,45,28,31,32,28,24,31,29,34,27,34,39,23,26,38,40,35,27,24
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,23,18,25,31,47,32,50,64,60,48,33,24,20,17,22,21,18,18,43,25,16,28,21,24,22,32,27,21,18,15
Seabrook Friendship Park C45,1,Reg,27,24,25,38,50,41,49,59,64,55,44,25,20,20,21,22,20,20,31,27,15,31,NV,33,29,37,30,23,19,16
Houston Bayland Park C53/A146,1,Reg,28,24,44,41,50,41,59,73,60,49,38,29,20,NV,21,22,18,20,61,35,20,30,26,29,31,47,28,31,20,17
Conroe Relocated C78/A321,1,Reg,31,28,28,40,37,35,54,53,73,65,48,38,32,41,NV,NV,36,34,27,32,24,22,50,23,23,27,36,31,35,36
Manvel Croix Park C84,1,Reg,30,27,32,39,46,51,65,87,62,51,37,27,22,21,25,21,20,22,48,42,24,34,27,32,34,40,29,27,20,19
Clinton C403/C304/AH113,3,Reg,25,22,35,36,44,39,52,63,58,49,41,27,17,19,25,21,19,23,51,29,20,28,25,26,27,33,28,25,18,17
Houston North Wayside C405/C1033,1,Reg,24,19,33,38,41,33,48,56,57,45,NV,NV,18,19,19,19,17,20,41,23,19,24,25,22,19,27,21,24,15,14
Houston Monroe C406,1,Reg,22,18,27,33,38,38,43,61,49,40,32,22,15,17,21,17,16,19,49,27,16,27,NV,24,24,32,24,22,18,15
Lang C408,2,Reg,28,22,45,42,43,33,49,61,61,48,41,31,20,23,27,28,21,21,52,30,20,29,28,24,27,33,31,31,21,17
Houston Croquet C409,2,Reg,26,24,38,40,46,41,55,74,56,47,36,28,20,21,20,20,19,21,61,35,25,31,25,29,30,45,29,28,20,18
Houston Westhollow C410/C3003,1,Reg,28,28,45,37,44,37,57,72,58,48,38,31,19,20,22,20,NV,NA,NV,37,26,32,28,27,32,45,32,37,20,18
Park Place C416,1,Reg,25,21,32,35,43,38,47,62,54,44,36,27,16,18,21,19,17,19,54,26,17,27,23,25,25,34,24,22,18,14
Sheldon C551,1,Non,24,21,26,27,33,29,36,38,40,35,27,21,20,21,24,23,22,22,28,23,22,25,24,22,20,25,23,23,22,20
Baytown Wetlands Center C552,1,Non,14,11,13,21,26,22,36,45,44,40,29,13,11,11,11,10,10,10,22,14,7,9,6,9,8,13,12,10,8,7
Crosby Library C553,1,Non,30,21,31,31,43,30,50,NV,56,54,30,23,20,25,30,31,27,28,40,25,27,29,26,28,24,36,31,30,29,23
La Porte Sylvan Beach C556,1,Non,18,18,18,22,27,23,28,31,33,32,26,19,17,17,17,18,17,17,21,20,14,14,14,18,18,20,19,18,17,15
Mercer Arboretum C557,1,Non,30,29,31,35,33,32,40,42,49,43,38,34,31,31,34,34,30,30,29,28,27,31,36,26,26,34,31,32,23,23
Tom Bass C558,1,Non,22,19,24,30,0,0,0,0,55,45,33,24,17,18,22,18,17,19,51,31,20,27,23,26,27,34,25,23,17,16
Katy Park C559,1,Non,20,25,31,28,34,28,46,56,51,38,30,25,16,16,18,15,13,16,31,29,22,26,21,18,24,33,26,22,14,14
Atascocita C560,1,Non,8,8,11,11,17,8,19,25,33,24,15,11,7,10,13,11,8,11,14,9,6,10,12,8,3,13,11,11,7,7
Meyer Park C561,1,Non,24,22,28,31,30,24,41,48,59,43,39,32,20,23,28,23,19,21,14,20,17,22,29,14,15,26,25,23,18,16
