Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Houston East C1/G316,2,Reg,21,23,26,22,23,37,36,39,35,27,20,20,34,52,32,52,39,38,33,56,33,20,20,25,21,35,39,38,47,41,39
Houston Aldine C8/AF108/X150,2,Reg,27,32,35,27,36,50,50,44,40,27,29,23,40,53,35,46,53,51,38,51,45,30,27,35,27,45,49,47,49,43,48
Channelview C15/AH115,3,Reg,20,23,25,20,23,30,37,40,36,30,20,22,33,40,35,45,30,35,47,53,32,22,22,28,20,36,39,36,42,38,39
Northwest Harris Co. C26/A110/X154,2,Reg,26,28,30,26,36,54,33,28,NV,NA,NV,26,40,42,33,44,55,45,41,42,36,25,26,28,27,40,43,32,39,42,49
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,17,18,19,17,19,30,27,32,28,37,19,17,28,48,26,55,36,25,32,55,25,18,18,20,17,29,31,26,38,42,NV
Seabrook Friendship Park C45,1,Reg,18,21,21,18,20,31,28,33,27,42,22,20,29,59,32,53,44,27,35,57,30,21,21,22,22,34,32,26,33,46,50
Houston Bayland Park C53/A146,1,Reg,19,22,23,17,24,34,30,30,31,37,21,21,31,50,34,60,42,27,32,36,25,19,21,23,21,34,35,35,37,48,57
Conroe Relocated C78/A321,1,Reg,36,40,39,37,39,37,44,34,38,30,36,NV,NV,31,35,35,42,48,50,37,48,35,31,33,47,50,57,39,40,44,45
Manvel Croix Park C84,1,Reg,22,21,21,18,19,26,27,29,29,37,19,20,26,45,39,53,46,23,26,30,22,18,22,22,19,33,32,24,34,52,65
Clinton C403/C304/AH113,3,Reg,21,23,22,21,21,32,29,35,34,36,21,18,29,54,31,53,40,30,29,50,27,19,21,21,18,30,32,31,42,43,44
Houston North Wayside C405/C1033,1,Reg,19,22,24,18,20,35,32,34,32,22,18,19,28,46,NV,44,39,37,23,44,31,18,17,22,18,31,35,38,40,37,37
Houston Monroe C406,1,Reg,16,17,18,16,17,24,22,26,27,31,15,15,20,42,25,48,33,20,22,31,19,14,17,17,15,24,27,23,30,43,45
Lang C408,2,Reg,20,23,26,20,29,39,32,30,30,28,26,21,28,48,30,47,44,32,31,42,30,21,21,23,21,33,37,35,40,41,45
Houston Croquet C409,2,Reg,19,20,20,16,21,29,27,29,30,37,19,21,28,43,34,55,38,25,29,32,21,18,21,20,21,33,32,31,34,45,55
Houston Westhollow C410/C3003,1,Reg,19,23,23,22,25,35,29,27,31,39,22,22,32,45,35,57,42,25,35,32,27,20,19,20,20,33,35,31,35,44,55
Park Place C416,1,Reg,16,19,19,17,NV,28,26,29,30,35,18,17,27,51,31,53,38,28,29,45,24,16,18,20,18,NV,35,31,41,45,46
Sheldon C551,1,Non,21,21,22,20,22,24,27,27,26,20,20,20,22,26,23,27,26,27,28,30,27,22,21,25,22,21,26,27,27,26,29
Baytown Wetlands Center C552,1,Non,8,10,10,9,11,15,17,23,17,23,11,9,13,22,16,26,21,12,23,31,4,5,7,10,11,21,21,17,25,24,35
Crosby Library C553,1,Non,24,33,34,29,35,35,45,41,40,26,31,19,32,35,31,38,40,33,53,44,50,27,24,37,17,37,51,45,45,42,41
La Porte Sylvan Beach C556,1,Non,16,17,17,17,17,21,21,22,20,26,18,17,21,26,22,26,25,20,22,31,13,13,13,13,13,14,13,13,15,16,16
Mercer Arboretum C557,1,Non,22,22,22,22,23,24,22,23,23,22,23,23,30,34,28,32,38,39,37,32,36,29,29,31,31,36,39,36,36,35,36
Tom Bass C558,1,Non,17,19,19,17,19,25,24,25,27,34,19,17,22,44,31,48,41,24,24,30,20,16,18,19,17,28,28,22,29,48,51
Katy Park C559,1,Non,15,16,17,15,18,27,20,17,24,33,16,15,23,27,25,38,22,18,23,22,18,17,16,15,13,22,NV,NA,NA,NA,NV
Atascocita C560,1,Non,10,12,14,9,11,16,25,21,18,8,9,8,15,13,11,13,14,17,22,18,20,12,9,13,10,18,23,19,21,18,19
Meyer Park C561,1,Non,19,22,23,20,28,40,29,22,27,19,20,18,26,32,20,30,40,14,24,30,28,16,13,18,20,29,34,26,30,33,37
Clear Brook High School C570,1,Non,17,17,19,18,18,27,25,28,28,33,21,17,23,44,30,54,39,22,25,30,21,18,18,19,18,29,30,23,30,49,55
Clear Creek High School C571,1,Non,NA,NA,NV,16,NV,NV,22,29,24,31,17,14,22,51,29,51,38,18,25,33,20,17,17,19,15,29,25,21,25,41,47
HRM-3 Haden Road C603/A114,1,Non,21,23,25,22,24,36,34,40,34,31,20,21,31,53,33,53,37,33,42,55,32,20,22,26,20,35,38,38,48,44,44
Wallisville Road C617,1,Non,21,23,26,23,24,29,37,41,38,32,25,21,29,33,35,45,37,26,48,50,39,24,21,27,22,40,45,40,43,39,44
Danciger C618,1,Non,14,12,15,12,13,18,14,19,19,18,13,11,16,19,26,33,34,17,18,17,16,14,20,19,17,29,26,21,22,25,71
Texas City 34th St. C620,1,Non,19,20,20,17,19,29,24,28,29,40,17,18,26,54,38,56,45,23,29,33,25,22,22,23,21,33,27,22,24,49,53
UH Moody Tower C695,1,Non,20,22,23,19,24,35,31,34,34,38,21,20,29,58,37,58,45,32,34,53,28,19,21,22,20,32,36,36,42,44,47
U of H-Sugarland C696,1,Non,17,22,21,18,23,29,NV,30,31,41,23,21,24,39,35,57,44,NV,31,30,21,19,22,22,NV,34,33,27,35,51,67
UH Coastal Center C697,1,Non,17,17,19,15,17,24,21,25,25,36,15,15,23,41,31,49,41,21,22,23,19,16,19,21,20,31,23,18,20,46,51
UH WG Jones Forest C698,1,Non,32,39,37,35,43,47,45,33,39,NV,36,38,46,38,35,39,47,58,56,39,45,33,27,32,40,48,53,39,43,44,47
UH West Liberty C699,1,Non,24,26,32,28,31,NV,43,35,33,32,25,21,27,26,27,32,35,26,46,33,45,30,26,33,24,44,52,42,36,38,37
Lake Jackson C1016,1,Reg,16,17,18,15,15,25,21,17,19,18,15,14,18,25,28,34,37,18,18,13,14,13,18,18,17,30,21,17,18,22,65
Baytown Garth C1017,1,Reg,21,23,26,21,23,27,NV,44,39,32,26,21,28,33,35,47,39,27,50,52,40,26,20,27,21,41,48,44,46,38,42
Galveston 99th St. C1034/A320/X183,1,Reg,21,21,22,19,23,28,24,25,41,42,19,20,25,41,41,56,48,32,30,23,21,26,23,21,26,NV,24,15,18,52,53
Oyster Creek C1607,1,Non,16,15,15,13,15,23,21,17,21,20,16,15,NV,24,32,37,42,20,21,18,18,15,17,17,17,29,19,16,19,27,59
