null
"[1, 'June 2010', 82, 'U of H-Sugarland C696']"
"[2, 'June 2010', 48, 'U of H-Sugarland C696']"
"[3, 'June 2010', 47, 'HRM-3 Haden Road C603/A114 ']"
"[4, 'June 2010', 59, 'Hou.DeerPrk2 C35/235/1001/AFH139FP239']"
"[5, 'June 2010', 63, 'U of H-Sugarland C696']"
"[6, 'June 2010', 60, 'U of H-Sugarland C696']"
"[7, 'June 2010', 36, 'Channelview C15/AH115 ']"
"[8, 'June 2010', 39, 'Northwest Harris Co. C26/A110/X154']"
"[9, 'June 2010', 32, 'U of H-Sugarland C696']"
"[10, 'June 2010', 36, 'UH Moody Tower C695']"
"[11, 'June 2010', 33, 'UH Moody Tower C695']"
"[12, 'June 2010', 33, 'U of H-Sugarland C696']"
"[13, 'June 2010', 31, 'U of H-Sugarland C696']"
"[14, 'June 2010', 43, 'U of H-Sugarland C696']"
"[15, 'June 2010', 43, 'Seabrook Friendship Park C45']"
"[16, 'June 2010', 49, 'Seabrook Friendship Park C45']"
"[17, 'June 2010', 41, 'U of H-Sugarland C696']"
"[18, 'June 2010', 47, 'UH Moody Tower C695']"
"[19, 'June 2010', 58, 'U of H-Sugarland C696']"
"[20, 'June 2010', 58, 'U of H-Sugarland C696']"
"[21, 'June 2010', 80, 'U of H-Sugarland C696']"
"[22, 'June 2010', 80, 'U of H-Sugarland C696']"
"[23, 'June 2010', 60, 'UH Moody Tower C695']"
"[24, 'June 2010', 60, 'Houston Texas Avenue C411']"
"[25, 'June 2010', 62, 'UH Moody Tower C695']"
"[26, 'June 2010', 54, 'U of H-Sugarland C696']"
"[27, 'June 2010', 60, 'U of H-Sugarland C696']"
"[28, 'June 2010', 41, 'Danciger C618 ']"
"[29, 'June 2010', 44, 'Mustang Bayou C619 ']"
"[30, 'June 2010', 26, 'HRM-3 Haden Road C603/A114 ']"
"[1, 'July 2010', 22, 'UH Moody Tower C695']"
"[2, 'July 2010', 20, 'Park Place C416']"
"[3, 'July 2010', 28, 'Northwest Harris Co. C26/A110/X154']"
"[4, 'July 2010', 48, 'Texas City 34th St. C620 ']"
"[5, 'July 2010', 51, 'Wallisville Road C617 ']"
"[6, 'July 2010', 60, 'Danciger C618 ']"
"[7, 'July 2010', 25, 'Park Place C416']"
"[8, 'July 2010', 23, 'Houston Texas Avenue C411']"
"[9, 'July 2010', 66, 'Houston Aldine C8/AF108/X150 ']"
"[10, 'July 2010', 71, 'UH WG Jones Forest C698']"
"[11, 'July 2010', 34, 'UH Coastal Center C697']"
"[12, 'July 2010', 26, 'U of H-Sugarland C696']"
"[13, 'July 2010', 29, 'U of H-Sugarland C696']"
"[14, 'July 2010', 44, 'UH Moody Tower C695']"
"[15, 'July 2010', 53, 'Park Place C416']"
"[16, 'July 2010', 92, 'Houston East C1/G316']"
"[17, 'July 2010', 68, 'Houston East C1/G316']"
"[18, 'July 2010', 43, 'UH Moody Tower C695']"
"[19, 'July 2010', 28, 'U of H-Sugarland C696']"
"[20, 'July 2010', 35, 'Channelview C15/AH115 ']"
"[21, 'July 2010', 35, 'Channelview C15/AH115 ']"
"[22, 'July 2010', 30, 'Channelview C15/AH115 ']"
"[23, 'July 2010', 47, 'UH Coastal Center C697']"
"[24, 'July 2010', 84, 'Mustang Bayou C619 ']"
"[25, 'July 2010', 66, 'Houston Regional Office C81']"
"[26, 'July 2010', 55, 'Channelview C15/AH115 ']"
"[27, 'July 2010', 32, 'UH Coastal Center C697']"
"[28, 'July 2010', 32, 'UH Coastal Center C697']"
"[29, 'July 2010', 46, 'UH Coastal Center C697']"
"[30, 'July 2010', 53, 'UH WG Jones Forest C698']"
"[31, 'July 2010', 58, 'HRM-3 Haden Road C603/A114 ']"
"[1, 'August 2010', 69, 'HRM-3 Haden Road C603/A114 ']"
"[2, 'August 2010', 92, 'UH Coastal Center C697']"
"[3, 'August 2010', 83, 'Houston East C1/G316']"
"[4, 'August 2010', 76, 'HRM-3 Haden Road C603/A114 ']"
"[5, 'August 2010', 62, 'UH WG Jones Forest C698']"
"[6, 'August 2010', 53, 'UH Coastal Center C697']"
"[7, 'August 2010', 48, 'UH WG Jones Forest C698']"
"[8, 'August 2010', 44, 'UH WG Jones Forest C698']"
"[9, 'August 2010', 66, 'UH Coastal Center C697']"
"[10, 'August 2010', 92, 'Texas City 34th St. C620 ']"
"[11, 'August 2010', 102, 'Texas City 34th St. C620 ']"
"[12, 'August 2010', 79, 'UH Coastal Center C697']"
"[13, 'August 2010', 53, 'HRM-3 Haden Road C603/A114 ']"
"[14, 'August 2010', 37, 'U of H-Sugarland C696']"
"[15, 'August 2010', 48, 'HRM-3 Haden Road C603/A114 ']"
"[16, 'August 2010', 50, 'Northwest Harris Co. C26/A110/X154']"
"[17, 'August 2010', 84, 'Mustang Bayou C619 ']"
"[18, 'August 2010', 60, 'U of H-Sugarland C696']"
"[19, 'August 2010', 35, 'UH WG Jones Forest C698']"
"[20, 'August 2010', 36, 'U of H-Sugarland C696']"
"[21, 'August 2010', 41, 'UH WG Jones Forest C698']"
"[22, 'August 2010', 50, 'HRM-3 Haden Road C603/A114 ']"
"[23, 'August 2010', 69, 'Houston Texas Avenue C411']"
"[24, 'August 2010', 75, 'Houston Regional Office C81']"
"[25, 'August 2010', 81, 'Houston Regional Office C81']"
"[26, 'August 2010', 76, 'Park Place C416']"
"[27, 'August 2010', 88, 'Houston Regional Office C81']"
"[28, 'August 2010', 68, 'Wallisville Road C617 ']"
"[29, 'August 2010', 54, 'Channelview C15/AH115 ']"
"[30, 'August 2010', 25, 'U of H-Sugarland C696']"
"[31, 'August 2010', 31, 'UH Coastal Center C697']"
"[1, 'September 2010', 53, 'Channelview C15/AH115 ']"
"[2, 'September 2010', 59, 'UH Coastal Center C697']"
"[3, 'September 2010', 52, 'Danciger C618 ']"
"[4, 'September 2010', 68, 'Houston Regional Office C81']"
"[5, 'September 2010', 70, 'Texas City 34th St. C620 ']"
"[6, 'September 2010', 26, 'Texas City 34th St. C620 ']"
"[7, 'September 2010', 21, 'Wallisville Road C617 ']"
"[8, 'September 2010', 27, 'U of H-Sugarland C696']"
"[9, 'September 2010', 36, 'UH WG Jones Forest C698']"
"[10, 'September 2010', 36, 'UH WG Jones Forest C698']"
"[11, 'September 2010', 41, 'UH WG Jones Forest C698']"
"[12, 'September 2010', 57, 'Texas City 34th St. C620 ']"
"[13, 'September 2010', 80, 'Mustang Bayou C619 ']"
"[14, 'September 2010', 96, 'UH Coastal Center C697']"
"[15, 'September 2010', 94, 'Channelview C15/AH115 ']"
"[16, 'September 2010', 62, 'Channelview C15/AH115 ']"
"[17, 'September 2010', 54, 'UH WG Jones Forest C698']"
"[18, 'September 2010', 46, 'UH WG Jones Forest C698']"
"[19, 'September 2010', 46, 'UH WG Jones Forest C698']"
"[20, 'September 2010', 43, 'UH Moody Tower C695']"
"[21, 'September 2010', 46, 'Monitoring_Site']"
"[22, 'September 2010', 46, 'UH Moody Tower C695']"
"[23, 'September 2010', 49, 'U of H-Sugarland C696']"
"[24, 'September 2010', 43, 'Houston Aldine C8/AF108/X150 ']"
"[25, 'September 2010', 65, 'Texas City 34th St. C620 ']"
"[26, 'September 2010', 56, 'Wallisville Road C617 ']"
"[27, 'September 2010', 60, 'Wallisville Road C617 ']"
"[28, 'September 2010', 83, 'Wallisville Road C617 ']"
"[29, 'September 2010', 88, 'Danciger C618 ']"
"[30, 'September 2010', 88, 'Houston Regional Office C81']"
"[1, 'June 2011', 78, 'Channelview C15/AH115 ']"
"[2, 'June 2011', 97, 'U of H-Sugarland C696']"
"[3, 'June 2011', 79, 'Houston Aldine C8/AF108/X150 ']"
"[4, 'June 2011', 70, 'Houston Aldine C8/AF108/X150 ']"
"[5, 'June 2011', 78, 'Houston Regional Office C81']"
"[6, 'June 2011', 104, 'Wallisville Road C617 ']"
"[7, 'June 2011', 96, 'UH Coastal Center C697']"
"[8, 'June 2011', 64, 'Seabrook Friendship Park C45']"
"[9, 'June 2011', 67, 'UH Moody Tower C695']"
"[10, 'June 2011', 58, 'Seabrook Friendship Park C45']"
"[11, 'June 2011', 74, 'UH Coastal Center C697']"
"[12, 'June 2011', 69, 'Channelview C15/AH115 ']"
"[13, 'June 2011', 63, 'Houston Bayland Park C53/A146 ']"
"[14, 'June 2011', 43, 'UH Coastal Center C697']"
"[15, 'June 2011', 44, 'UH Coastal Center C697']"
"[16, 'June 2011', 32, 'UH Coastal Center C697']"
"[17, 'June 2011', 31, 'UH Coastal Center C697']"
"[18, 'June 2011', 32, 'U of H-Sugarland C696']"
