,0
0,['June 2010']
1,"['Area', 'Monitoring_Site', 'POC', 'Flag', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30']"
2,[]
3,['Houston-Galveston-Brazoria']
4,"['', 'Houston East C1/G316', '2', 'Reg', '49', '35', '30', '42', '41', '33', '22', '29', '22', '19', '15', '15', '17', '23', '28', '34', '23', '26', '28', '37', '46', '51', '34', '54', '30', '36', '31', '29', '30', '13']"
5,"['', 'Houston Aldine C8/AF108/X150 ', '2', 'Reg', '65', '40', '35', '49', '52', '47', '32', '37', '27', '23', '17', '18', '22', '27', '38', '42', '28', '33', '41', '50', '63', '61', 'NV', '50', '43', '46', '44', '37', 'NV', '21']"
6,"['', 'Channelview C15/AH115 ', '3', 'Reg', '46', '36', '35', '46', '41', '38', '27', '28', '22', 'NV', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']"
7,"['', 'Northwest Harris Co. C26/A110/X154', '2', 'Reg', '61', '40', '39', '52', '48', '45', '36', '35', '30', '27', '24', '22', '24', '28', '33', '40', '27', '29', '39', '39', '59', '61', '47', '31', '42', '44', '42', '35', '36', '23']"
8,"['', 'Hou.DeerPrk2 C35/235/1001/AFH139FP239', '1', 'Reg', '46', '38', '41', '54', '41', '41', '33', '39', '23', '20', '16', '16', '18', '23', '31', '32', '22', '27', '28', '32', '41', '52', '41', '46', '36', '37', '33', '33', '35', '22']"
9,"['', 'Seabrook Friendship Park C45', '1', 'Reg', '40', '36', '44', '59', '38', '36', '35', '32', '21', '19', '15', '16', '19', '20', '29', '29', '19', '22', '23', '29', '36', '48', '38', '30', '38', '34', '31', '29', '31', '22']"
10,"['', 'Houston Bayland Park C53/A146 ', '1', 'Reg', '43', '34', '37', '53', '43', '32', '28', '32', '22', '22', '16', '15', '18', '20', '24', '34', '20', '21', '28', '26', '34', '39', '34', '35', '30', '31', '31', '28', '40', '19']"
11,"['', 'Conroe Relocated C78/A321', '1', 'Reg', '68', '43', '36', '42', '54', '47', '28', '28', '22', '32', '30', '28', '28', '38', '43', '49', '36', '41', '47', '45', '66', '60', '46', '33', '49', '42', '50', '25', '27', '20']"
12,"['', 'Houston Regional Office C81', '1', 'Reg', '40', '31', '31', '46', '39', '29', '19', '25', '19', '16', '12', '13', '17', '19', '26', '29', '19', '20', '25', '28', '34', '38', '28', '31', '26', '34', '28', 'NV', '29', '14']"
13,"['', 'Manvel Croix Park C84', '1', 'Reg', '41', '33', '39', '56', '40', '31', '30', '32', '24', '19', '15', '16', '18', '22', '32', '32', '23', '23', '25', '24', '31', '38', '33', '29', '31', '31', '30', '25', '33', '23']"
14,"['', 'Clinton C403/C304/AH113 ', '3', 'Reg', '44', '31', '29', '49', '40', '33', '25', '34', '21', '18', '13', '14', '18', '20', '28', '28', '21', '22', '25', '31', '38', '43', '33', '40', '31', '36', '30', '26', '34', '19']"
