date,maximum,site,cluster,year,month,day
2010-06-01,82,UH WG Jones Forest C698,11,2010,6,1
2010-06-02,52,Crosby Library C553,3,2010,6,2
2010-06-03,49,Crosby Library C553,3,2010,6,3
2010-06-04,59,Seabrook Friendship Park C45,3,2010,6,4
2010-06-05,63,UH WG Jones Forest C698,7,2010,6,5
2010-06-06,60,UH WG Jones Forest C698,15,2010,6,6
2010-06-07,36,Northwest Harris Co. C26/A110/X154,13,2010,6,7
2010-06-08,39,Hou.DeerPrk2 C35/235/1001/AFH139FP239,0,2010,6,8
2010-06-09,32,UH WG Jones Forest C698,0,2010,6,9
2010-06-10,36,UH WG Jones Forest C698,0,2010,6,10
2010-06-11,33,UH WG Jones Forest C698,2,2010,6,11
2010-06-12,33,UH WG Jones Forest C698,0,2010,6,12
2010-06-13,31,UH WG Jones Forest C698,0,2010,6,13
2010-06-14,43,UH WG Jones Forest C698,0,2010,6,14
2010-06-15,45,Mercer Arboretum C557,2,2010,6,15
2010-06-16,52,Mercer Arboretum C557,0,2010,6,16
2010-06-17,41,UH WG Jones Forest C698,0,2010,6,17
2010-06-18,47,UH WG Jones Forest C698,0,2010,6,18
2010-06-19,58,UH WG Jones Forest C698,8,2010,6,19
2010-06-20,58,UH WG Jones Forest C698,12,2010,6,20
2010-06-21,80,UH WG Jones Forest C698,8,2010,6,21
2010-06-22,80,UH WG Jones Forest C698,8,2010,6,22
2010-06-23,60,UH WG Jones Forest C698,12,2010,6,23
2010-06-24,69,Atascocita C560,12,2010,6,24
2010-06-25,62,UH WG Jones Forest C698,12,2010,6,25
2010-06-26,54,UH WG Jones Forest C698,8,2010,6,26
2010-06-27,60,UH WG Jones Forest C698,6,2010,6,27
2010-06-28,41,UH Moody Tower C695,7,2010,6,28
2010-06-29,44,U of H-Sugarland C696,7,2010,6,29
2010-06-30,30,Monitoring_Site,6,2010,6,30
2010-07-01,22,UH WG Jones Forest C698,6,2010,7,1
2010-07-02,20,Mustang Bayou C619,5,2010,7,2
2010-07-03,28,Seabrook Friendship Park C45,1,2010,7,3
2010-07-04,48,UH WG Jones Forest C698,2,2010,7,4
2010-07-05,51,UH Moody Tower C695,2,2010,7,5
2010-07-06,60,U of H-Sugarland C696,3,2010,7,6
2010-07-07,25,Mustang Bayou C619,3,2010,7,7
2010-07-08,23,Mustang Bayou C619,1,2010,7,8
2010-07-09,66,Northwest Harris Co. C26/A110/X154,5,2010,7,9
2010-07-10,73,Crosby Library C553,9,2010,7,10
2010-07-11,36,Crosby Library C553,4,2010,7,11
2010-07-12,27,Mercer Arboretum C557,6,2010,7,12
2010-07-13,29,UH WG Jones Forest C698,2,2010,7,13
2010-07-14,44,UH WG Jones Forest C698,0,2010,7,14
2010-07-15,53,Wallisville Road C617,12,2010,7,15
2010-07-16,92,Houston Aldine C8/AF108/X150,12,2010,7,16
2010-07-17,73,Atascocita C560,12,2010,7,17
2010-07-18,43,Sheldon C551,12,2010,7,18
2010-07-19,28,UH WG Jones Forest C698,12,2010,7,19
2010-07-20,35,Northwest Harris Co. C26/A110/X154,4,2010,7,20
2010-07-21,36,West Houston C554,8,2010,7,21
2010-07-22,30,Northwest Harris Co. C26/A110/X154,4,2010,7,22
2010-07-23,47,UH WG Jones Forest C698,4,2010,7,23
2010-07-24,84,UH Moody Tower C695,4,2010,7,24
2010-07-25,66,Manvel Croix Park C84,8,2010,7,25
2010-07-26,55,Northwest Harris Co. C26/A110/X154,4,2010,7,26
2010-07-27,32,Atascocita C560,1,2010,7,27
2010-07-28,32,UH WG Jones Forest C698,4,2010,7,28
2010-07-29,46,UH WG Jones Forest C698,12,2010,7,29
2010-07-30,53,UH West Liberty C699,12,2010,7,30
2010-07-31,62,Baytown Wetlands Center C552,13,2010,7,31
2010-08-01,78,Baytown Wetlands Center C552,15,2010,8,1
2010-08-02,92,UH WG Jones Forest C698,9,2010,8,2
2010-08-03,83,Houston Aldine C8/AF108/X150,12,2010,8,3
2010-08-04,77,Crosby Library C553,12,2010,8,4
2010-08-05,62,UH West Liberty C699,12,2010,8,5
2010-08-06,53,UH WG Jones Forest C698,15,2010,8,6
2010-08-07,48,UH West Liberty C699,14,2010,8,7
2010-08-08,44,UH West Liberty C699,10,2010,8,8
2010-08-09,66,UH WG Jones Forest C698,1,2010,8,9
2010-08-10,92,UH Moody Tower C695,4,2010,8,10
2010-08-11,102,UH Moody Tower C695,9,2010,8,11
2010-08-12,79,UH WG Jones Forest C698,14,2010,8,12
2010-08-13,53,Wallisville Road C617,6,2010,8,13
2010-08-14,37,UH WG Jones Forest C698,2,2010,8,14
2010-08-15,48,Wallisville Road C617,4,2010,8,15
2010-08-16,50,Seabrook Friendship Park C45,8,2010,8,16
2010-08-17,84,UH Moody Tower C695,13,2010,8,17
2010-08-18,60,UH West Liberty C699,14,2010,8,18
2010-08-19,35,UH West Liberty C699,13,2010,8,19
2010-08-20,36,UH WG Jones Forest C698,1,2010,8,20
2010-08-21,47,Crosby Library C553,2,2010,8,21
2010-08-22,50,Wallisville Road C617,8,2010,8,22
2010-08-23,69,Wallisville Road C617,12,2010,8,23
2010-08-24,75,Manvel Croix Park C84,14,2010,8,24
2010-08-25,81,Manvel Croix Park C84,14,2010,8,25
2010-08-26,76,Danciger C618,13,2010,8,26
2010-08-27,88,Manvel Croix Park C84,13,2010,8,27
2010-08-28,68,Danciger C618,6,2010,8,28
2010-08-29,54,Northwest Harris Co. C26/A110/X154,2,2010,8,29
2010-08-30,30,Monitoring_Site,1,2010,8,30
2010-08-31,31,Monitoring_Site,0,2010,8,31
2010-09-01,53,Northwest Harris Co. C26/A110/X154,9,2010,9,1
2010-09-02,59,UH WG Jones Forest C698,6,2010,9,2
2010-09-03,52,Mustang Bayou C619,11,2010,9,3
2010-09-04,69,Clear Creek High School C571,15,2010,9,4
2010-09-05,76,West Houston C554,11,2010,9,5
2010-09-06,26,La Porte Sylvan Beach C556,3,2010,9,6
2010-09-07,21,Mustang Bayou C619,2,2010,9,7
2010-09-08,27,UH WG Jones Forest C698,1,2010,9,8
2010-09-09,36,UH West Liberty C699,2,2010,9,9
2010-09-10,36,UH West Liberty C699,3,2010,9,10
2010-09-11,41,UH West Liberty C699,6,2010,9,11
2010-09-12,57,UH Moody Tower C695,15,2010,9,12
2010-09-13,80,UH Moody Tower C695,12,2010,9,13
2010-09-14,96,UH WG Jones Forest C698,13,2010,9,14
2010-09-15,94,Northwest Harris Co. C26/A110/X154,14,2010,9,15
2010-09-16,67,West Houston C554,10,2010,9,16
2010-09-17,54,UH West Liberty C699,10,2010,9,17
2010-09-18,46,UH West Liberty C699,5,2010,9,18
2010-09-19,46,UH West Liberty C699,5,2010,9,19
2010-09-20,43,UH WG Jones Forest C698,5,2010,9,20
2010-09-21,46,Northwest Harris Co. C26/A110/X154,3,2010,9,21
2010-09-22,46,UH WG Jones Forest C698,3,2010,9,22
2010-09-23,49,UH WG Jones Forest C698,3,2010,9,23
2010-09-24,43,Northwest Harris Co. C26/A110/X154,2,2010,9,24
2010-09-25,65,U of H-Sugarland C696,9,2010,9,25
2010-09-26,56,Mustang Bayou C619,11,2010,9,26
2010-09-27,60,Mustang Bayou C619,7,2010,9,27
2010-09-28,85,Clear Creek High School C571,7,2010,9,28
2010-09-29,88,Mustang Bayou C619,7,2010,9,29
2010-09-30,88,Manvel Croix Park C84,7,2010,9,30
2011-06-01,78,Northwest Harris Co. C26/A110/X154,12,2011,6,1
2011-06-02,97,UH WG Jones Forest C698,12,2011,6,2
2011-06-03,79,Northwest Harris Co. C26/A110/X154,0,2011,6,3
2011-06-04,74,West Houston C554,0,2011,6,4
2011-06-05,78,Manvel Croix Park C84,12,2011,6,5
2011-06-06,112,Galveston 99th St. C1034/A320/X183,12,2011,6,6
2011-06-07,96,UH WG Jones Forest C698,10,2011,6,7
2011-06-08,64,Conroe Relocated C78/A321,2,2011,6,8
2011-06-09,67,UH WG Jones Forest C698,2,2011,6,9
2011-06-10,58,Conroe Relocated C78/A321,6,2011,6,10
2011-06-11,74,Mercer Arboretum C557,6,2011,6,11
2011-06-12,69,Northwest Harris Co. C26/A110/X154,2,2011,6,12
2011-06-13,63,Conroe Relocated C78/A321,10,2011,6,13
2011-06-14,43,UH WG Jones Forest C698,0,2011,6,14
2011-06-15,44,UH WG Jones Forest C698,15,2011,6,15
2011-06-16,32,UH WG Jones Forest C698,11,2011,6,16
2011-06-17,31,UH WG Jones Forest C698,3,2011,6,17
2011-06-18,32,UH West Liberty C699,1,2011,6,18
2011-06-19,29,Huffman Wolf Road C563,0,2011,6,19
2011-06-20,33,Conroe Relocated C78/A321,3,2011,6,20
2011-06-21,31,Tom Bass C558,3,2011,6,21
2011-06-22,44,Manvel Croix Park C84,3,2011,6,22
2011-06-23,55,Conroe Relocated C78/A321,11,2011,6,23
2011-06-24,45,UH WG Jones Forest C698,11,2011,6,24
2011-06-25,41,Conroe Relocated C78/A321,7,2011,6,25
2011-06-26,39,Huffman Wolf Road C563,6,2011,6,26
2011-06-27,51,UH WG Jones Forest C698,6,2011,6,27
2011-06-28,59,Northwest Harris Co. C26/A110/X154,9,2011,6,28
2011-06-29,68,Northwest Harris Co. C26/A110/X154,9,2011,6,29
2011-06-30,74,Northwest Harris Co. C26/A110/X154,5,2011,6,30
2011-07-01,61,UH WG Jones Forest C698,5,2011,7,1
2011-07-02,60,Baytown Wetlands Center C552,5,2011,7,2
2011-07-03,57,Wallisville Road C617,9,2011,7,3
2011-07-04,62,UH West Liberty C699,5,2011,7,4
2011-07-05,86,Atascocita C560,10,2011,7,5
2011-07-06,63,Bunker Hill Village C562,9,2011,7,6
2011-07-07,62,UH West Liberty C699,14,2011,7,7
2011-07-08,57,UH West Liberty C699,11,2011,7,8
2011-07-09,50,UH WG Jones Forest C698,6,2011,7,9
2011-07-10,44,UH WG Jones Forest C698,1,2011,7,10
2011-07-11,65,UH WG Jones Forest C698,4,2011,7,11
2011-07-12,40,UH West Liberty C699,4,2011,7,12
2011-07-13,49,UH West Liberty C699,4,2011,7,13
2011-07-14,47,UH West Liberty C699,1,2011,7,14
2011-07-15,31,Huffman Wolf Road C563,6,2011,7,15
2011-07-16,40,Atascocita C560,6,2011,7,16
2011-07-17,55,UH WG Jones Forest C698,5,2011,7,17
2011-07-18,52,Wallisville Road C617,8,2011,7,18
2011-07-19,41,Wallisville Road C617,12,2011,7,19
2011-07-20,47,UH WG Jones Forest C698,9,2011,7,20
2011-07-21,52,UH WG Jones Forest C698,4,2011,7,21
2011-07-22,35,UH WG Jones Forest C698,0,2011,7,22
2011-07-23,41,UH WG Jones Forest C698,0,2011,7,23
2011-07-24,39,UH West Liberty C699,12,2011,7,24
2011-07-25,43,UH West Liberty C699,12,2011,7,25
2011-07-26,51,Atascocita C560,13,2011,7,26
2011-07-27,45,UH WG Jones Forest C698,6,2011,7,27
2011-07-28,46,UH WG Jones Forest C698,5,2011,7,28
