  Report Parameter:  Resultant Wind Speed,,
      Parameter ID:  61103,,
   Parameter Units:  mi/hr,,
         Time base:  LST,,
Selection Criteria:  by Site,,
 Columns Sorted by:  CAMS number,,
,,
Date,Time,C695_1
20100601,0:00,7
20100601,1:00,7.09
20100601,2:00,7.63
20100601,3:00,8.2
20100601,4:00,7.22
20100601,5:00,4.9
20100601,6:00,2.83
20100601,7:00,3.48
20100601,8:00,4.63
20100601,9:00,4.18
20100601,10:00,5.54
20100601,11:00,3.72
20100601,12:00,3.47
20100601,13:00,4.06
20100601,14:00,13.17
20100601,15:00,12.84
20100601,16:00,12.12
20100601,17:00,11.64
20100601,18:00,13.01
20100601,19:00,11.87
20100601,20:00,10.25
20100601,21:00,10.02
20100601,22:00,6.64
20100601,23:00,5.85
20100602,0:00,4.8
20100602,1:00,2.88
20100602,2:00,4.7
20100602,3:00,5.49
20100602,4:00,5.11
20100602,5:00,4.97
20100602,6:00,4.37
20100602,7:00,3.97
20100602,8:00,5.99
20100602,9:00,4.19
20100602,10:00,6.49
20100602,11:00,5.46
20100602,12:00,3.3
20100602,13:00,5.51
20100602,14:00,12.43
20100602,15:00,11.12
20100602,16:00,8.96
20100602,17:00,10.25
20100602,18:00,7.55
20100602,19:00,11.37
20100602,20:00,10.62
20100602,21:00,8.38
20100602,22:00,9.2
20100602,23:00,7.05
20100603,0:00,11.01
20100603,1:00,14.46
20100603,2:00,12.11
20100603,3:00,6.34
20100603,4:00,6.85
20100603,5:00,7.06
20100603,6:00,11.42
20100603,7:00,7.3
20100603,8:00,2.7
20100603,9:00,6.63
20100603,10:00,5.75
20100603,11:00,4.92
20100603,12:00,5.77
20100603,13:00,9.46
20100603,14:00,6.87
20100603,15:00,5.82
20100603,16:00,7.81
20100603,17:00,5.55
20100603,18:00,3.15
20100603,19:00,2.78
20100603,20:00,0.87
20100603,21:00,5.87
20100603,22:00,10.01
20100603,23:00,11.07
20100604,0:00,11.02
20100604,1:00,9.66
20100604,2:00,8.92
20100604,3:00,7.27
20100604,4:00,6.12
20100604,5:00,8.73
20100604,6:00,7.96
20100604,7:00,8.57
20100604,8:00,10.01
20100604,9:00,12.49
20100604,10:00,12.29
20100604,11:00,12.65
20100604,12:00,12.49
20100604,13:00,12.33
20100604,14:00,10.05
20100604,15:00,8.03
20100604,16:00,7.54
20100604,17:00,4.9
20100604,18:00,5.65
20100604,19:00,7.84
20100604,20:00,4.02
20100604,21:00,6.66
20100604,22:00,7.17
20100604,23:00,6.48
20100605,0:00,8.35
20100605,1:00,6.48
20100605,2:00,5.68
20100605,3:00,6.1
20100605,4:00,8.29
20100605,5:00,7.55
20100605,6:00,7
20100605,7:00,7.19
20100605,8:00,10.63
20100605,9:00,7.19
20100605,10:00,6.16
20100605,11:00,5.78
20100605,12:00,6.48
20100605,13:00,7.74
20100605,14:00,13.6
20100605,15:00,16.9
20100605,16:00,15.35
20100605,17:00,14.26
20100605,18:00,13.29
20100605,19:00,10.23
20100605,20:00,8.9
20100605,21:00,9.32
20100605,22:00,8.33
20100605,23:00,7.37
20100606,0:00,5.81
20100606,1:00,7.5
20100606,2:00,5.88
20100606,3:00,5.64
20100606,4:00,6.36
20100606,5:00,6.28
20100606,6:00,5.18
20100606,7:00,7.22
20100606,8:00,7.33
20100606,9:00,7.37
20100606,10:00,5.41
20100606,11:00,5.32
20100606,12:00,4.38
20100606,13:00,4.89
20100606,14:00,5.33
20100606,15:00,10.82
20100606,16:00,2.9
20100606,17:00,2.28
20100606,18:00,2.72
20100606,19:00,5.44
20100606,20:00,10.13
20100606,21:00,9.25
20100606,22:00,5.02
20100606,23:00,4.43
20100607,0:00,5.25
20100607,1:00,3.69
20100607,2:00,0.51
20100607,3:00,1.56
20100607,4:00,2.57
20100607,5:00,2.3
20100607,6:00,2.45
20100607,7:00,1.22
20100607,8:00,0.42
20100607,9:00,8.89
20100607,10:00,8.58
20100607,11:00,2.94
20100607,12:00,2.27
20100607,13:00,0.09
20100607,14:00,5.67
20100607,15:00,2.36
20100607,16:00,5.33
20100607,17:00,7.73
20100607,18:00,8.62
20100607,19:00,11.79
20100607,20:00,11.59
20100607,21:00,8.88
20100607,22:00,8.59
20100607,23:00,8.37
20100608,0:00,10.1
20100608,1:00,5.22
20100608,2:00,2.72
20100608,3:00,3.68
20100608,4:00,4.18
20100608,5:00,2.97
20100608,6:00,4.4
20100608,7:00,6.59
20100608,8:00,8.73
20100608,9:00,10.82
20100608,10:00,2.12
20100608,11:00,5.05
20100608,12:00,5.09
20100608,13:00,1.92
20100608,14:00,5.2
20100608,15:00,7.27
20100608,16:00,11.19
20100608,17:00,13.51
20100608,18:00,11.82
20100608,19:00,10.65
20100608,20:00,10.21
20100608,21:00,10.6
20100608,22:00,10.13
20100608,23:00,10.12
20100609,0:00,7
20100609,1:00,5.86
20100609,2:00,7.76
20100609,3:00,9.34
20100609,4:00,9.41
20100609,5:00,10.5
20100609,6:00,12.46
20100609,7:00,13.94
20100609,8:00,16.74
