,cluster,year,month,day,datetime,maximum,site,Max PM2.5
0,11,2010.0,6.0,1.0,2010-06-01,68.0,Conroe Relocated C78/A321,17.254375
1,3,2010.0,6.0,2.0,2010-06-02,43.0,Conroe Relocated C78/A321,14.10791667
2,3,2010.0,6.0,3.0,2010-06-03,47.0,Wallisville Road C617,7.552083333
3,3,2010.0,6.0,4.0,2010-06-04,59.0,Seabrook Friendship Park C45,11.93166667
4,7,2010.0,6.0,5.0,2010-06-05,54.0,Conroe Relocated C78/A321,16.22541667
5,15,2010.0,6.0,6.0,2010-06-06,47.0,Houston Aldine C8/AF108/X150,31.315
6,13,2010.0,6.0,7.0,2010-06-07,36.0,Northwest Harris Co. C26/A110/X154,17.34666667
7,0,2010.0,6.0,8.0,2010-06-08,39.0,Hou.DeerPrk2 C35/235/1001/AFH139FP239,19.1125
8,0,2010.0,6.0,9.0,2010-06-09,30.0,Northwest Harris Co. C26/A110/X154,27.80083333
9,0,2010.0,6.0,10.0,2010-06-10,32.0,Conroe Relocated C78/A321,26.38125
10,2,2010.0,6.0,11.0,2010-06-11,30.0,Conroe Relocated C78/A321,21.88375
11,0,2010.0,6.0,12.0,2010-06-12,28.0,Conroe Relocated C78/A321,9.379166667
12,0,2010.0,6.0,13.0,2010-06-13,28.0,Conroe Relocated C78/A321,12.63833333
13,0,2010.0,6.0,14.0,2010-06-14,38.0,Conroe Relocated C78/A321,11.79333333
14,2,2010.0,6.0,15.0,2010-06-15,43.0,Conroe Relocated C78/A321,13.55708333
15,0,2010.0,6.0,16.0,2010-06-16,49.0,Conroe Relocated C78/A321,11.40458333
16,0,2010.0,6.0,17.0,2010-06-17,36.0,Conroe Relocated C78/A321,12.66458333
17,0,2010.0,6.0,18.0,2010-06-18,41.0,Conroe Relocated C78/A321,11.04166667
18,8,2010.0,6.0,19.0,2010-06-19,47.0,Conroe Relocated C78/A321,9.161666667
