,date,maximum,site
0,2010-06-01,68.0,Conroe Relocated C78/A321
1,2010-06-02,43.0,Conroe Relocated C78/A321
2,2010-06-03,47.0,Wallisville Road C617
3,2010-06-04,59.0,Seabrook Friendship Park C45
4,2010-06-05,54.0,Conroe Relocated C78/A321
5,2010-06-06,47.0,Houston Aldine C8/AF108/X150
6,2010-06-07,36.0,Northwest Harris Co. C26/A110/X154
7,2010-06-08,39.0,Hou.DeerPrk2 C35/235/1001/AFH139FP239
8,2010-06-09,30.0,Northwest Harris Co. C26/A110/X154
9,2010-06-10,32.0,Conroe Relocated C78/A321
10,2010-06-11,30.0,Conroe Relocated C78/A321
11,2010-06-12,28.0,Conroe Relocated C78/A321
12,2010-06-13,28.0,Conroe Relocated C78/A321
13,2010-06-14,38.0,Conroe Relocated C78/A321
14,2010-06-15,43.0,Conroe Relocated C78/A321
15,2010-06-16,49.0,Conroe Relocated C78/A321
16,2010-06-17,36.0,Conroe Relocated C78/A321
17,2010-06-18,41.0,Conroe Relocated C78/A321
18,2010-06-19,47.0,Conroe Relocated C78/A321
19,2010-06-20,50.0,Houston Aldine C8/AF108/X150
20,2010-06-21,66.0,Conroe Relocated C78/A321
21,2010-06-22,61.0,Houston Aldine C8/AF108/X150
22,2010-06-23,47.0,Northwest Harris Co. C26/A110/X154
23,2010-06-24,60.0,Wallisville Road C617
24,2010-06-25,49.0,Conroe Relocated C78/A321
25,2010-06-26,46.0,Houston Aldine C8/AF108/X150
26,2010-06-27,50.0,Conroe Relocated C78/A321
27,2010-06-28,37.0,Houston Aldine C8/AF108/X150
28,2010-06-29,41.0,Houston Croquet C409
29,2010-06-30,23.0,Northwest Harris Co. C26/A110/X154
0,2010-07-01,19.0,Wallisville Road C617
1,2010-07-02,15.0,Seabrook Friendship Park C45
2,2010-07-03,28.0,Seabrook Friendship Park C45
3,2010-07-04,36.0,Houston Aldine C8/AF108/X150
4,2010-07-05,49.0,Houston Aldine C8/AF108/X150
5,2010-07-06,55.0,Houston Croquet C409
6,2010-07-07,22.0,Seabrook Friendship Park C45
7,2010-07-08,21.0,Wallisville Road C617
8,2010-07-09,66.0,Northwest Harris Co. C26/A110/X154
9,2010-07-10,65.0,Seabrook Friendship Park C45
10,2010-07-11,32.0,Houston Aldine C8/AF108/X150
11,2010-07-12,22.0,Wallisville Road C617
12,2010-07-13,28.0,Conroe Relocated C78/A321
13,2010-07-14,40.0,Conroe Relocated C78/A321
14,2010-07-15,53.0,Wallisville Road C617
15,2010-07-16,92.0,Houston Aldine C8/AF108/X150
16,2010-07-17,68.0,Houston Aldine C8/AF108/X150
17,2010-07-18,42.0,Houston Aldine C8/AF108/X150
18,2010-07-19,24.0,Conroe Relocated C78/A321
19,2010-07-20,35.0,Northwest Harris Co. C26/A110/X154
20,2010-07-21,35.0,Northwest Harris Co. C26/A110/X154
21,2010-07-22,30.0,Northwest Harris Co. C26/A110/X154
22,2010-07-23,34.0,Houston Aldine C8/AF108/X150
23,2010-07-24,77.0,Lang C408
24,2010-07-25,66.0,Manvel Croix Park C84
25,2010-07-26,55.0,Northwest Harris Co. C26/A110/X154
26,2010-07-27,27.0,Conroe Relocated C78/A321
27,2010-07-28,29.0,Conroe Relocated C78/A321
28,2010-07-29,41.0,Conroe Relocated C78/A321
29,2010-07-30,51.0,Wallisville Road C617
30,2010-07-31,58.0,Wallisville Road C617
0,2010-08-01,69.0,Wallisville Road C617
1,2010-08-02,82.0,Houston Aldine C8/AF108/X150
2,2010-08-03,83.0,Houston Aldine C8/AF108/X150
3,2010-08-04,76.0,Wallisville Road C617
4,2010-08-05,54.0,Conroe Relocated C78/A321
5,2010-08-06,44.0,Conroe Relocated C78/A321
6,2010-08-07,45.0,Wallisville Road C617
7,2010-08-08,33.0,Conroe Relocated C78/A321
8,2010-08-09,52.0,Conroe Relocated C78/A321
9,2010-08-10,77.0,Lang C408
10,2010-08-11,93.0,Park Place C416
11,2010-08-12,71.0,Wallisville Road C617
12,2010-08-13,53.0,Wallisville Road C617
13,2010-08-14,31.0,Houston Aldine C8/AF108/X150
14,2010-08-15,48.0,Wallisville Road C617
