Site/Site AQS/Param/POC,Date (LST),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Average,Max
Clinton C403/482011035/PM2.5-88502/3,6/1/2019,5.2,6.2,6.5,6.8,7,9,16.3,15.9,14.1,11.2,8,11.5,7.4,7.8,16.1,11.3,10.4,9,4,6.2,10.6,4.8,5.6,6.5,9.06,16.3
Clinton C403/482011035/PM2.5-88502/3,6/2/2019,6.7,5.6,3.1,3.6,6.3,5.9,10.3,6.8,2.1,0.6,3.6,1.2,4.6,5.6,7.8,4.1,6.3,3.6,6,8.9,7,6.2,5.6,6.7,5.34,10.3
Clinton C403/482011035/PM2.5-88502/3,6/3/2019,4.9,4.8,3.6,6.6,5,7.2,12.9,7.2,7.3,3.7,3.6,9.7,12.3,8,6.4,7.8,4.2,8.6,6.6,9.1,6.6,6.6,5.4,5.5,6.82,12.9
Clinton C403/482011035/PM2.5-88502/3,6/4/2019,6.9,6.9,4,6.9,8.1,10,11.6,13.4,,,,4,5,5.6,5.8,7.3,1.9,1.9,1.3,5,3.8,3.1,2.2,1.1,5.51,13.4
Clinton C403/482011035/PM2.5-88502/3,6/5/2019,1.3,3.1,2.2,3.6,3.6,4,4.5,5.2,4.7,5.1,7,3.6,1.2,3.1,1.9,0.5,1,1.4,3.2,3.2,4.7,4.7,2.4,1.8,3.21,7
Clinton C403/482011035/PM2.5-88502/3,6/6/2019,3.5,3.2,4.9,9.3,5.9,5.7,5.4,8.7,13.2,9.8,9.2,8.5,6.7,4.4,5.7,4.7,6.3,8.6,15.6,9.8,1.5,2.2,4.6,2.8,6.68,15.6
Clinton C403/482011035/PM2.5-88502/3,6/7/2019,2.7,4.2,3.5,4.4,7,10,11.3,16.6,20.9,18.1,17,14.6,11.7,11,9.3,10,7.3,6.3,6.8,8.4,8,9.7,6.1,5.9,9.62,20.9
Clinton C403/482011035/PM2.5-88502/3,6/8/2019,7,8.5,8.9,10.7,10.5,13.9,18.4,10,5.7,7.3,8.7,6,6.1,6,6.2,4.8,5.6,6.9,7.8,8.7,12.2,12.8,13.7,11.5,9.08,18.4
Clinton C403/482011035/PM2.5-88502/3,6/9/2019,10.7,11.4,14.1,15.6,14,15.2,16.8,22.1,21.2,18.8,17.8,17.6,18.9,17.3,20.9,18.8,9.3,11.9,7.5,8.5,14.7,14.8,10.7,6.1,14.78,22.1
Clinton C403/482011035/PM2.5-88502/3,6/10/2019,8.2,11.3,13.2,12.7,13.9,14.5,17,17,15.1,11.9,12.4,10.3,9.8,8.5,7.8,8.9,8.7,10.4,13,12.1,11.3,8.4,8.9,8.2,11.4,17
Clinton C403/482011035/PM2.5-88502/3,6/11/2019,10.8,12,10.1,7.1,7.5,8,6.6,4.3,4.4,6.4,9.5,9.7,8.2,7.4,8.5,7.4,8.6,7.4,6.7,6.4,10.1,9.3,11.9,8,8.18,12
Clinton C403/482011035/PM2.5-88502/3,6/12/2019,9.3,8.1,7.7,8.3,8.6,13.6,12.5,15.9,14.3,18.3,16.7,9.6,3.3,6,6.4,7.7,8.1,7.9,9.9,14,26.2,22.7,20.3,16.1,12.15,26.2
Clinton C403/482011035/PM2.5-88502/3,6/13/2019,14.4,11.5,10.2,11.7,10.9,17,20.6,19.9,17,9.7,6.1,6.5,7.8,9.5,9.2,8.6,7.2,7.8,7.4,8.7,10,17.1,17.9,18.3,11.87,20.6
Clinton C403/482011035/PM2.5-88502/3,6/14/2019,19.2,19.9,19.8,21.9,24.4,24.6,30.6,24,17.3,12.6,14.7,14.1,12.6,13.4,17.4,12,14.1,12,11.7,8.8,10.7,10.8,10.4,11.6,16.19,30.6
Clinton C403/482011035/PM2.5-88502/3,6/15/2019,12.3,11.6,16.4,24.6,9.9,9.8,11.9,11.3,8.1,8.6,6.7,11.9,10,6.8,13.2,11.4,13.8,11.4,14.9,16.2,23.3,15.4,14.7,11.4,12.73,24.6
