August 2020
Area,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,Hamshire C64/C654,1,Reg,41,52,45,65,44,42,49,33,18,15,18,22,24,23,28,32,46,54,45,52,57,47,63,33,NV,NA,NA,NV,NA,NA,NV
,Houston East C1/G316,2,Reg,32,60,61,62,50,53,57,38,23,23,23,29,32,30,42,55,54,67,47,54,73,60,56,30,NV,NA,NV,23,28,23,20
,Houston Aldine C8/AF108/X150 ,2,Reg,38,49,55,62,56,59,66,42,24,NV,29,39,40,40,47,46,53,63,45,55,68,62,53,34,NV,20,41,28,35,29,27
,Channelview C15/AH115 ,3,Reg,40,51,55,67,47,53,59,38,22,20,22,30,33,30,36,49,46,58,42,46,69,56,53,29,NV,NA,NV,23,27,21,18
,Northwest Harris Co. C26/A110/X154,2,Reg,44,37,52,57,52,58,63,45,24,31,30,27,32,29,34,NV,NA,NA,NA,NA,NV,51,52,43,31,22,35,31,30,28,25
,Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,41,66,67,61,51,53,61,35,22,22,24,26,26,25,28,57,63,81,65,62,74,62,62,40,NV,NA,NA,25,27,24,19
,Seabrook Friendship Park C45,1,Reg,38,58,74,47,40,42,53,29,15,16,18,18,21,20,21,52,51,64,50,49,55,50,51,31,NV,NA,NA,NV,20,18,14
,Houston Bayland Park C53/A146 ,1,Reg,39,55,61,55,43,47,50,35,19,24,21,28,23,28,37,44,73,84,61,73,62,57,66,41,NV,27,39,21,26,24,18
,Conroe Relocated C78/A321,1,Reg,50,43,50,52,66,77,77,59,28,42,41,40,47,43,44,41,54,61,38,47,61,53,49,40,27,19,41,34,36,34,36
,Manvel Croix Park C84,1,Reg,31,58,50,47,43,44,46,28,20,20,21,21,21,21,22,30,68,98,70,70,52,53,61,48,NV,25,38,18,20,21,19
,Clinton C403/C304/AH113 ,3,Reg,37,NV,NV,NV,43,43,51,32,22,20,22,25,25,26,37,56,58,72,56,61,71,57,58,37,NV,NA,NV,13,23,23,18
,Houston North Wayside C405/C1033,1,Reg,30,51,52,57,48,51,54,35,19,22,23,31,32,31,43,45,51,59,41,47,62,56,49,28,NV,NA,NV,20,28,24,19
,Houston Monroe C406,1,Reg,32,50,61,51,42,40,43,30,20,19,20,22,21,21,24,38,58,80,62,67,60,55,57,38,NV,NA,NV,NV,20,19,17
,Lang C408,2,Reg,39,50,60,58,52,53,55,41,22,27,30,36,33,33,40,48,61,70,50,61,69,57,55,35,NV,NA,NV,26,33,28,21
,Houston Croquet C409,2,Reg,33,49,53,46,38,42,43,31,18,22,19,23,19,24,31,36,65,81,57,69,55,52,63,43,NV,NA,NV,20,22,22,18
,Houston Westhollow C410/C3003,1,Reg,38,47,56,53,47,47,50,34,23,24,24,29,26,28,32,40,NV,74,57,66,52,51,56,43,NV,NA,NV,19,20,21,17
,Park Place C416,1,Reg,38,67,67,56,44,45,48,34,21,22,22,25,26,26,34,47,62,80,59,67,66,56,64,38,NV,NA,NV,23,25,24,21
,Baytown Wetlands Center C552,1,Non,44,44,66,57,40,44,51,32,18,18,19,21,24,23,25,51,44,63,48,50,65,51,52,27,NV,NA,NA,NA,NA,NA,NA
,West Houston C554,1,Non,35,37,45,51,42,44,47,35,18,23,23,26,24,25,28,37,62,69,51,60,54,48,55,42,33,24,34,24,25,25,20
,La Porte Sylvan Beach C556,1,Non,41,44,67,45,34,40,47,27,16,13,15,16,17,18,18,44,42,60,44,44,52,48,47,27,NV,NA,NA,NA,NA,NA,NA
,Mercer Arboretum C557,1,Non,36,36,43,50,54,62,69,43,21,29,32,36,39,36,41,37,44,54,36,43,58,51,44,33,23,16,32,27,29,25,22
,Tom Bass C558,1,Non,30,56,56,47,41,43,45,28,19,19,21,20,21,20,23,35,63,87,65,71,55,52,58,43,33,23,39,18,21,20,19
,Katy Park C559,1,Non,31,38,45,48,39,49,49,30,18,20,21,23,19,21,25,35,59,66,49,58,49,46,56,46,34,26,32,23,24,23,18
,Atascocita C560,1,Non,27,37,39,48,50,56,61,38,19,25,25,31,35,34,38,36,40,48,32,41,56,51,42,25,18,14,36,24,29,22,19
,Meyer Park C561,1,Non,37,36,49,51,54,55,58,40,20,28,30,34,35,33,37,45,50,60,41,50,62,50,49,38,27,19,34,27,29,27,24
,Bunker Hill Village C562,1,Non,25,40,52,47,42,41,43,31,16,21,22,26,24,25,30,37,61,69,51,61,55,46,50,34,31,23,34,18,21,20,16
,Huffman Wolf Road C563,1,Non,36,39,46,58,68,58,63,51,30,36,37,43,50,46,46,41,40,55,38,47,58,56,47,33,24,20,43,36,39,31,27
,HRM-3 Haden Road C603/A114 ,1,Non,28,54,52,58,46,47,52,32,20,19,22,28,30,28,38,50,50,61,47,50,71,57,53,31,23,22,50,21,26,20,16
,Wallisville Road C617 ,1,Non,53,48,66,74,56,51,54,39,25,24,28,35,36,37,45,51,45,62,45,50,71,58,55,33,24,24,51,27,31,28,19
,Texas City 34th St. C620 ,1,Non,49,71,58,49,47,46,57,34,21,20,21,20,21,23,25,39,69,78,71,61,61,61,63,44,26,26,36,19,22,22,17
,UH Moody Tower C695,1,Non,45,69,68,61,48,49,52,37,22,24,25,30,28,30,40,54,67,80,60,67,71,62,63,40,32,27,46,24,27,26,22
,UH WG Jones Forest C698,1,Non,48,41,52,52,60,76,81,57,27,38,7,39,42,40,43,42,56,67,42,52,65,NV,50,40,NV,19,NV,34,36,32,32
