July 2021
Area,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,Hamshire C64/C654,1,Reg,34,41,29,44,27,24,24,21,18,20,23,26,21,25,21,21,20,16,24,33,46,28,20,27,47,48,52,56,55,33,31
,Houston East C1/G316,2,Reg,47,57,22,49,29,27,35,21,14,18,21,28,31,24,20,18,26,24,30,34,58,31,23,32,46,78,57,58,55,51,33
,Houston Aldine C8/AF108/X150 ,2,Reg,62,64,24,41,32,36,38,23,18,23,27,28,35,33,25,24,36,30,33,NV,58,40,30,42,41,NV,NV,NV,NV,60,35
,Channelview C15/AH115 ,3,Reg,40,58,24,46,32,26,34,20,15,18,26,24,23,21,19,22,32,27,35,36,57,34,27,37,56,81,68,49,49,57,39
,Northwest Harris Co. C26/A110/X154,2,Reg,60,37,17,31,33,36,33,21,20,18,21,22,34,29,21,19,29,27,22,37,44,29,22,25,23,27,46,54,55,60,28
,Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,41,48,36,46,30,28,31,24,18,18,20,25,29,23,22,20,27,23,28,39,63,29,24,24,35,97,57,68,56,44,34
,Seabrook Friendship Park C45,1,Reg,29,36,25,43,24,21,24,22,20,15,16,NV,23,27,19,15,24,20,22,NV,51,24,19,21,26,71,42,47,42,30,26
,Houston Bayland Park C53/A146 ,1,Reg,55,50,28,49,30,23,NV,NV,18,17,20,23,26,30,24,18,24,24,28,47,61,31,22,27,36,52,50,78,64,40,31
,Conroe Relocated C78/A321,1,Reg,53,40,23,27,36,42,46,21,25,29,31,26,33,26,34,27,48,35,24,36,43,39,30,40,29,42,51,49,49,53,34
,Manvel Croix Park C84,1,Reg,36,35,23,43,24,22,26,23,17,18,18,23,20,23,24,17,21,20,25,52,51,26,20,22,24,45,48,77,53,37,26
,Clinton C403/C304/AH113 ,3,Reg,38,47,24,49,28,23,26,20,11,16,17,28,23,24,18,15,20,21,23,40,46,24,18,25,35,78,46,63,54,38,27
,Houston North Wayside C405/C1033,1,Reg,49,54,18,37,24,25,30,18,11,17,20,26,29,25,19,16,27,23,NV,35,49,28,22,32,43,56,57,47,49,46,31
,Houston Monroe C406,1,Reg,41,41,32,NV,NA,21,25,22,15,16,17,22,22,NV,19,17,18,20,25,36,54,25,NV,21,30,63,46,63,50,NV,NV
,Lang C408,2,Reg,67,49,22,39,30,27,31,19,13,16,17,24,24,27,20,17,25,24,26,35,53,29,26,29,33,48,56,61,56,52,30
,Houston Croquet C409,2,Reg,43,45,30,50,26,24,28,24,18,16,18,21,24,26,22,17,22,23,26,46,55,27,19,22,31,46,47,81,59,38,29
,Houston Westhollow C410/C3003,1,Reg,NV,40,26,47,29,25,28,24,19,16,19,21,28,30,21,18,25,22,23,43,61,25,18,22,24,35,48,74,62,44,26
,Park Place C416,1,Reg,47,52,31,56,29,26,31,24,16,18,20,24,26,29,23,19,23,23,30,43,62,30,NV,26,35,70,53,75,61,41,30
,Houston Harvard Street C417,1,Reg,69,59,27,56,36,33,37,29,22,24,24,31,30,33,NV,NV,29,30,33,46,66,37,26,36,44,68,64,69,66,54,38
,Sheldon C551,1,Non,31,53,15,28,18,33,2,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Baytown Wetlands Center C552,1,Non,26,45,26,36,NV,NA,NV,18,15,14,16,20,18,20,17,13,23,19,24,31,49,25,17,23,42,74,49,50,41,32,33
,Crosby Library C553,1,Non,36,51,20,36,24,23,38,18,16,19,25,26,22,20,21,19,31,30,34,33,47,36,32,42,47,52,65,41,42,41,38
,West Houston C554,1,Non,59,45,27,42,33,29,33,21,17,17,18,24,31,33,21,18,18,18,18,18,18,21,21,25,27,40,49,73,64,50,31
,La Porte Sylvan Beach C556,1,Non,27,38,30,42,28,24,25,23,18,13,15,19,22,26,19,17,25,21,23,31,55,26,20,23,28,73,46,50,44,31,30
,Mercer Arboretum C557,1,Non,53,45,19,30,27,37,38,18,16,21,24,24,31,31,24,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Tom Bass C558,1,Non,42,40,31,47,26,24,27,25,18,18,17,23,21,24,24,18,23,20,26,46,55,26,20,22,26,51,48,73,53,37,27
,Katy Park C559,1,Non,44,38,28,36,28,23,26,22,18,17,16,17,24,28,23,16,22,21,22,36,55,24,19,21,21,29,43,66,57,39,26
,Atascocita C560,1,Non,38,46,18,33,26,30,38,16,16,17,21,21,26,23,23,19,34,28,27,30,51,35,24,36,44,52,53,42,41,48,33
,Meyer Park C561,1,Non,60,39,18,33,30,33,35,20,16,19,20,24,29,33,21,15,29,25,23,36,48,NV,NV,NV,NA,NV,NV,NV,NV,NV,NV
,Bunker Hill Village C562,1,Non,56,45,21,44,25,25,29,22,14,15,17,25,25,26,20,15,23,22,23,43,52,27,24,26,30,46,51,69,60,43,28
,Huffman Wolf Road C563,1,Non,35,46,22,36,29,30,39,19,20,22,29,26,25,23,29,27,33,33,35,34,35,41,35,46,40,44,59,39,46,39,39
,HRM-3 Haden Road C603/A114 ,1,Non,45,56,26,52,29,26,34,23,15,16,21,28,28,20,19,20,26,22,32,NV,60,31,24,34,53,82,61,60,55,52,34
,Wallisville Road C617 ,1,Non,36,60,32,46,30,26,31,23,21,20,28,28,23,23,23,20,29,25,NV,34,52,32,26,37,53,75,59,49,44,39,37
,Texas City 34th St. C620 ,1,Non,38,37,39,52,29,26,30,28,25,21,21,25,27,32,24,22,25,24,29,48,62,27,20,23,29,68,55,69,51,32,28
,UH Moody Tower C695,1,Non,54,54,27,51,28,25,29,22,17,17,18,24,25,26,23,18,23,22,29,43,58,27,19,23,32,60,52,66,54,40,28
,UH WG Jones Forest C698,1,Non,NA,NA,NA,NA,NA,NA,NA,NV,23,26,29,25,36,30,30,25,47,33,25,39,49,36,29,37,28,40,51,55,55,64,32
,Lynchburg Ferry C1015/A165 ,1,Reg,30,52,26,43,30,25,29,21,17,18,21,22,21,23,20,20,27,22,28,25,55,27,24,27,47,76,58,51,47,44,37
,Lake Jackson C1016 ,1,Reg,28,22,18,28,18,NV,22,21,15,16,17,16,16,21,19,14,19,15,16,41,NV,17,15,13,13,19,43,54,34,21,20
,Baytown Garth C1017,1,Reg,39,67,35,51,34,28,34,26,23,24,33,32,27,27,27,23,33,31,39,39,58,38,32,44,60,85,69,57,52,46,45
,Galveston 99th St. C1034/A320/X183,1,Reg,30,28,34,38,25,26,25,27,23,20,17,23,21,26,23,21,21,19,27,39,52,26,16,15,NV,NA,NA,NA,NV,30,24
,UH Smith Point C1606,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,23,25,23,19,25,21,NV,37,56,27,18,21,27,68,51,52,45,33,33
,UH Launch Trailer C1611,1,Non,57,55,28,53,29,27,31,23,17,NV,19,26,25,27,24,20,26,24,32,44,60,NV,NV,27,36,65,NV,70,59,44,32
