June 2022
Area,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,Hamshire C64/C654,1,Reg,20,24,35,46,43,29,24,26,33,32,24,21,23,22,22,29,34,30,51,64,33,28,50,35,50,53,NV,55,61,23
,Houston East C1/G316,2,Reg,30,35,33,68,53,32,31,36,47,38,37,25,28,25,27,79,54,54,59,96,52,52,59,42,55,73,52,50,63,35
,Houston Aldine C8/AF108/X150 ,2,Reg,NA,NV,37,46,52,33,33,42,53,37,35,27,26,24,28,59,56,57,53,68,53,60,64,48,53,52,39,50,56,28
,Channelview C15/AH115 ,3,Reg,24,34,32,53,51,32,27,27,39,38,31,26,28,22,23,57,43,43,48,72,44,46,59,39,53,63,42,47,54,29
,Northwest Harris Co. C26/A110/X154,2,Reg,31,NV,41,62,55,38,41,47,48,34,31,27,27,28,31,NV,60,60,65,74,73,58,62,53,55,53,51,59,63,38
,Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,28,38,39,63,49,32,27,31,35,32,26,23,27,24,25,61,48,45,53,73,48,45,52,37,50,76,54,53,64,39
,Seabrook Friendship Park C45,1,Reg,21,31,31,45,39,25,20,22,26,20,18,16,18,18,19,38,32,30,47,52,35,29,NV,27,38,46,43,52,50,35
,Houston Bayland Park C53/A146 ,1,Reg,26,41,51,73,48,33,NV,39,46,30,29,24,23,24,24,56,38,36,57,82,53,41,51,40,50,64,NV,NV,68,40
,Conroe Relocated C78/A321,1,Reg,46,40,37,43,69,49,54,48,52,37,33,35,41,38,NV,40,57,48,44,62,62,52,68,69,66,48,47,58,56,35
,Manvel Croix Park C84,1,Reg,22,47,54,61,46,31,27,NV,29,24,21,21,22,24,23,35,NV,28,48,72,38,32,38,33,45,46,64,64,59,38
,Clinton C403/C304/AH113 ,3,Reg,21,40,41,65,46,29,NV,32,38,32,30,25,NV,24,24,76,47,51,58,87,NV,42,47,35,48,70,59,57,67,40
,Houston North Wayside C405/C1033,1,Reg,24,34,34,53,49,30,29,32,44,31,30,24,24,22,25,64,50,54,54,75,44,51,57,43,52,57,40,46,55,32
,Houston Monroe C406,1,Reg,18,38,36,58,42,28,24,27,30,26,21,19,NV,20,22,44,33,33,48,NV,37,29,37,29,39,53,58,51,60,36
,Lang C408,2,Reg,25,33,39,67,49,31,30,40,47,31,30,24,25,24,25,62,44,50,60,90,50,47,56,46,49,60,52,53,59,30
,Houston Croquet C409,2,Reg,23,41,48,66,45,31,28,34,38,27,27,21,21,24,23,45,32,30,49,72,43,34,NV,34,44,53,57,NV,61,36
,Houston Westhollow C410/C3003,1,Reg,22,33,46,62,45,29,27,36,40,26,25,20,21,20,23,45,33,33,46,75,48,36,43,NV,45,56,56,58,64,37
,Park Place C416,1,Reg,NV,36,42,62,46,31,27,31,38,30,27,21,23,22,24,61,43,41,56,79,46,40,46,36,46,71,62,55,69,40
,Houston Harvard Street C417,1,Reg,24,NV,45,77,52,30,31,40,49,33,33,26,23,25,26,77,47,52,65,97,52,40,NV,42,53,68,60,60,67,36
,Sheldon C551,1,Non,23,29,30,42,48,30,25,30,43,34,31,22,26,21,23,52,44,45,46,65,43,49,62,42,54,57,40,45,51,22
,Baytown Wetlands Center C552,1,Non,21,30,32,47,41,25,20,22,30,24,19,17,18,20,20,45,29,27,42,54,39,28,43,32,45,66,44,50,52,30
,Crosby Library C553,1,Non,24,28,28,37,53,31,28,34,48,34,34,25,28,24,27,50,41,42,44,56,46,45,62,47,59,57,38,44,NV,NV
,West Houston C554,1,Non,26,37,48,68,51,33,NV,44,46,31,29,24,24,23,26,55,44,46,61,92,58,44,55,46,54,64,55,60,70,37
,La Porte Sylvan Beach C556,1,Non,20,30,31,43,39,25,19,20,28,20,17,15,17,18,18,39,29,28,44,54,34,30,40,27,41,50,43,52,54,38
,Mercer Arboretum C557,1,Non,37,NV,NV,46,59,38,40,47,58,36,36,28,30,29,33,55,65,59,52,66,58,66,69,58,59,47,39,51,55,NV
,Tom Bass C558,1,Non,19,49,47,58,42,28,24,25,26,20,18,16,18,19,19,35,27,25,47,65,35,26,37,29,41,49,53,54,59,35
,Katy Park C559,1,Non,25,32,42,59,44,29,27,36,32,25,23,21,20,20,21,42,34,33,41,70,50,34,42,35,44,52,46,54,64,13
,Atascocita C560,1,Non,29,27,29,40,52,32,32,35,50,36,33,25,26,24,28,46,48,48,43,54,45,54,63,48,54,42,39,45,49,NV
