September 2022
Area,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,Hamshire C64/C654,1,Reg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,32,37,26,28,46,59,47,NV,44,40,44,54,53,47,46
,Houston East C1/G316,2,Reg,42,51,21,27,27,23,35,31,45,47,45,44,NV,NV,50,20,39,39,31,55,75,51,68,57,59,41,44,39,48,42
,Houston Aldine C8/AF108/X150 ,2,Reg,52,59,28,33,32,34,39,40,48,48,45,NV,NA,NA,NV,35,41,37,34,45,58,49,58,56,47,42,44,42,45,43
,Channelview C15/AH115 ,3,Reg,36,43,22,37,34,NV,38,38,46,48,48,47,53,56,56,27,37,35,29,51,56,52,58,62,58,47,44,47,48,41
,Northwest Harris Co. C26/A110/X154,2,Reg,56,58,32,37,37,41,41,50,60,56,52,49,63,56,67,49,47,46,50,61,71,58,72,57,35,50,56,54,57,51
,Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,51,52,30,41,30,28,48,50,57,55,54,59,63,64,55,35,47,39,31,56,66,60,62,55,59,53,53,56,52,47
,Seabrook Friendship Park C45,1,Reg,44,44,22,36,25,25,38,39,50,50,50,47,46,52,47,31,36,32,25,36,54,58,NV,56,51,52,NV,50,50,NV
,Houston Bayland Park C53/A146 ,1,Reg,64,56,33,37,31,34,55,59,69,68,59,66,89,77,68,35,44,59,40,84,92,75,79,50,51,65,60,64,67,60
,Conroe Relocated C78/A321,1,Reg,41,53,34,44,42,58,41,40,48,55,52,48,53,49,60,43,59,38,41,47,53,55,54,78,40,50,55,52,52,48
,Manvel Croix Park C84,1,Reg,54,43,29,32,25,25,54,57,57,65,57,70,61,69,52,27,38,41,29,44,74,76,70,44,38,67,64,65,65,59
,Clinton C403/C304/AH113 ,3,Reg,48,44,34,34,34,32,51,52,61,64,62,68,76,73,67,40,52,47,39,72,85,64,68,53,62,62,59,62,64,55
,Houston North Wayside C405/C1033,1,Reg,41,42,NV,NA,NA,28,35,35,45,48,49,49,55,NV,58,31,39,36,33,46,62,49,60,53,51,45,42,43,48,41
,Houston Monroe C406,1,Reg,46,41,26,29,24,21,43,44,46,50,49,56,59,58,47,27,36,39,28,47,61,56,56,39,42,50,45,49,46,42
,Lang C408,2,Reg,55,58,29,35,29,35,43,46,59,57,51,54,68,55,67,35,40,51,39,54,79,61,71,53,43,48,53,52,54,51
,Houston Croquet C409,2,Reg,58,50,29,34,27,29,51,53,60,62,50,58,73,72,57,30,40,48,34,53,78,65,70,44,46,58,53,58,56,50
,Houston Westhollow C410/C3003,1,Reg,54,44,26,27,22,27,41,50,60,56,47,49,75,62,62,29,33,49,33,NV,82,63,73,42,30,53,54,59,57,51
,Park Place C416,1,Reg,NV,NA,NA,NA,NA,NV,50,47,58,61,57,62,72,71,59,34,46,50,35,68,80,62,69,49,55,56,52,NV,NV,47
,Houston Harvard Street C417,1,Reg,54,61,34,40,35,34,52,51,66,66,59,61,74,65,72,33,NV,NA,42,67,88,70,77,56,58,56,52,56,59,54
,Sheldon C551,1,Non,37,45,20,30,30,26,37,34,36,2,1,1,1,1,1,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Baytown Wetlands Center C552,1,Non,36,36,20,34,29,21,37,37,45,47,48,46,49,55,51,30,32,28,22,37,51,54,56,51,59,45,49,52,47,44
,Crosby Library C553,1,Non,37,47,21,35,35,33,36,32,39,46,45,40,47,49,57,31,36,28,23,39,49,49,54,58,49,41,46,44,45,41
,West Houston C554,1,Non,53,55,24,27,25,30,40,50,60,55,50,50,70,62,72,33,36,50,43,65,79,62,76,48,35,51,58,59,60,52
,La Porte Sylvan Beach C556,1,Non,43,45,26,38,27,26,39,39,52,49,51,52,49,55,52,36,36,30,26,39,56,57,61,50,49,45,49,52,47,43
,Mercer Arboretum C557,1,Non,NA,NV,27,36,34,41,NV,NV,NV,NA,NA,NA,NA,NV,61,41,49,35,35,46,57,56,59,69,43,46,54,49,51,47
,Tom Bass C558,1,Non,48,37,28,30,22,22,48,47,56,62,55,65,68,69,52,27,36,43,29,46,69,64,62,42,41,59,56,58,57,54
,Katy Park C559,1,Non,56,57,29,29,27,26,40,50,58,54,50,49,69,63,75,33,39,48,44,64,75,54,74,45,33,51,60,58,58,52
,Atascocita C560,1,Non,44,52,24,28,31,34,34,31,39,42,41,39,45,42,54,33,NV,NA,NV,38,48,47,51,65,47,41,44,42,47,41
,Meyer Park C561,1,Non,56,52,24,31,29,42,36,43,53,51,48,47,60,50,62,44,45,42,40,50,65,57,68,59,36,48,56,52,55,49
,Bunker Hill Village C562,1,Non,53,45,27,29,25,30,40,42,57,51,45,48,67,59,67,33,36,49,39,63,77,59,67,42,35,50,51,53,57,51
,Huffman Wolf Road C563,1,Non,35,44,24,NA,NA,NV,36,32,36,46,45,40,45,45,60,33,38,30,23,37,45,49,52,57,41,44,45,42,45,40
,HRM-3 Haden Road C603/A114 ,1,Non,45,56,24,36,32,27,44,44,54,57,54,54,67,68,63,32,48,44,36,64,73,61,71,62,68,51,51,54,53,49
,Wallisville Road C617 ,1,Non,43,45,26,39,38,31,42,41,49,53,52,48,57,64,61,32,38,32,30,48,59,56,60,57,66,48,50,52,49,45
,Texas City 34th St. C620 ,1,Non,NA,NA,NA,NA,33,30,57,58,65,73,75,63,61,69,63,45,54,46,40,49,69,76,79,57,63,60,68,66,65,56
,UH Moody Tower C695,1,Non,53,58,31,36,32,30,50,49,60,62,58,63,75,69,63,35,44,53,39,77,83,66,70,51,57,NV,NV,NV,NV,50
,UH WG Jones Forest C698,1,Non,52,54,33,38,39,56,42,44,57,56,54,53,60,51,62,45,60,41,42,50,61,61,62,78,40,50,55,NA,NV,48
,Lynchburg Ferry C1015/A165 ,1,Reg,33,43,26,39,31,27,39,40,52,48,44,42,58,61,55,31,39,34,27,52,58,48,61,57,69,38,44,49,41,42
,Lake Jackson C1016 ,1,Reg,49,42,23,25,23,24,40,58,49,61,57,68,49,57,45,27,40,36,25,34,58,70,65,40,38,74,64,53,69,57
,Baytown Garth C1017,1,Reg,50,54,33,44,42,35,46,44,52,55,56,50,60,68,67,36,42,38,35,53,64,60,67,62,71,51,51,55,51,48
,Galveston 99th St. C1034/A320/X183,1,Reg,59,45,27,41,25,24,57,58,56,69,69,65,53,55,52,41,41,36,34,42,59,73,81,48,56,54,65,54,59,57
,UH Smith Point C1606,1,Non,49,47,30,40,30,26,47,43,56,56,52,44,48,58,55,39,38,33,29,40,55,60,71,56,49,47,53,60,48,50
