CAMS Sites,CAMS CODE,CAMS_Lat,CAMS_Long
Houston East,CAMS 1,29.7680246,-95.2205674
Houston Aldine,CAMS 08,29.9010441,-95.3261415
Texas City,CAMS 10,29.397778,-94.933333
Channelview,CAMS 15,29.8027231,-95.1254893
Northwest Harris County,CAMS 26,30.0395417,-95.6739564
Houston Deer Park 2,CAMS 35,29.6700444,-95.1285031
Seabrook Friendship Park,CAMS 45,29.5830559,-95.0155723
Houston Bayland Park,CAMS 53,29.6957535,-95.4992384
Conroe,CAMS 78,30.3503307,-95.4251268
Manvel Croix Park,CAMS 84,29.5204479,-95.3925137
Clinton,CAMS 403,29.7338081,-95.2576232
Houston North Wayside,CAMS 405,29.8285236,-95.2839734
Houston Monroe,CAMS 406,29.6256371,-95.2670327
Lang,CAMS 408,29.834214,-95.489122
Houston Croquet,CAMS 409,29.623963,-95.4743373
Houston Westhollow,CAMS 410,29.7233596,-95.6358899
Park Place,CAMS 416,29.6862929,-95.2947259
Houston Harvard St.,CAMS 417,29.7728616,-95.395874
Sheldon,CAMS 551,29.8586111,-95.1602778
Baytown Wetlands Center,CAMS 552,29.7330556,-94.9847222
Crosby Library,CAMS 553,29.9208333,-95.0683333
West Houston,CAMS 554,29.8330556,-95.6569444
La Porte Sylvan Beach,CAMS C556,29.6552778,-95.0097222
Mercer Arboretum,CAMS C557,30.0380556,-95.3811111
Tom Bass,CAMS 558,29.5894444,-95.3536111
Katy Park,CAMS 559,29.8105556,-95.8061111
Atascocita,CAMS 560,29.961944,-95.235
Meyer Park,CAMS 561,30.011667,-95.5225
Bunker Hill Village,CAMS 562,29.778333,-95.538056
Huffman Wolf Road,CAMS 570,30.05786,-95.06147
HRM-3 Haden Road,CAMS 603,29.7647823,-95.1783736
Wallisville Road,CAMS 617,29.821389,-94.99
Texas City,CAMS 620,29.4057,-94.94712
UH Moody Tower,CAMS 695,29.7176,-95.3414
Jones Forest,CAMS 698,30.2362,-95.4832
Lynchburg Ferry,CAMS 1015,29.758889,-95.079444
Lake Jackson,CAMS 1016,29.0437592,-95.4729462
Baytown Garth,CAMS 1017,29.823345,-94.98387
Cesar Chavez,CAMS 1020,29.6843637,-95.2535952
Galveston 99th St. ,CAMS 1034,29.2544736,-94.8612886
Smith Point,CAMS 1606,29.545789,-94.781386
Oyster Creek,CAMS 1607,29.010556,-95.313333
UH Launch Trailer,CAMS 1611,29.723997,-95.339143
Liberty Sam Houston Library,CAMS 1626,30.0966,-94.7634
