Houston-Galveston-Brazoria
, Houston East C1/G316, 2, Reg,35,30,35,33,35,37,34,32,35,29,40,46,35,36,23,20,12,18,29,38,28,25,4,NA,9,24,60,40,35,33,33
, Houston Aldine C8/AF108/X150 , 2, Reg,41,38,38,34,38,41,38,33,48,45,49,55,45,43,28,32,22,27,37,45,32,30,10,29,29,33,49,42,47,44,48
, Channelview C15/AH115 , 3, Reg,42,40,39,38,36,38,35,31,38,44,43,44,46,44,27,31,28,23,39,43,33,35,7,26,28,29,37,38,44,40,45
, Northwest Harris Co. C26/A110/X154, 2, Reg,40,40,34,34,38,39,38,32,32,45,38,52,44,42,30,34,25,29,36,45,33,26,8,28,28,34,30,39,49,40,47
, Hou.DeerPrk2 C35/235/1001/AFH139FP239, 1, Reg,40,36,37,36,35,NA,26,28,32,40,41,43,38,34,29,24,18,17,33,35,27,26,4,21,25,22,37,34,45,37,45
, Seabrook Friendship Park C45, 1, Reg,39,39,38,38,37,37,38,33,53,41,44,48,46,42,42,36,23,21,37,44,36,31,10,26,30,37,25,47,43,43,46
, Houston Bayland Park C53/A146 , 1, Reg,37,34,32,33,34,35,34,28,39,37,39,47,40,36,26,26,17,23,34,40,34,25,8,21,23,30,72,38,41,37,41
, Conroe Relocated C78/A321, 1, Reg,39,37,35,35,35,40,37,35,41,43,44,52,41,43,26,35,26,29,35,43,33,27,7,30,28,28,31,37,45,40,42
, Houston Regional Office C81, 1, Reg,36,29,24,19,20,24,20,22,23,34,33,35,36,32,14,15,13,13,28,32,20,15,4,17,17,27,58,32,38,33,38
, Manvel Croix Park C84, 1, Reg,40,37,35,36,37,38,35,30,39,41,43,52,44,39,35,37,16,20,38,45,44,37,6,24,25,32,51,44,44,42,47
, Clinton C403/C304/AH113 , 3, Reg,39,33,31,22,32,36,30,28,33,35,40,45,45,40,25,26,21,22,36,42,29,28,8,24,24,23,82,33,39,35,33
, Houston North Wayside C405/C1033, 1, Reg,36,31,33,31,29,34,30,26,33,33,34,43,39,35,23,25,15,22,31,40,32,26,8,24,25,23,60,33,41,36,40
, Houston Monroe C406, 1, Reg,37,32,33,30,34,36,33,30,30,37,36,46,37,35,29,27,14,18,32,42,35,32,5,21,25,21,39,38,38,37,42
