,date,month,ozone,site
0,1,June 2017,36,Channelview C15/AH115 
1,2,June 2017,35,Channelview C15/AH115 
2,3,June 2017,45,Houston North Wayside C405/C1033
3,4,June 2017,44,Texas City 34th St. C620 
4,5,June 2017,56,UH Coastal Center C697
5,6,June 2017,56,UH WG Jones Forest C698
6,7,June 2017,65,Conroe Relocated C78/A321
7,8,June 2017,87,Conroe Relocated C78/A321
8,9,June 2017,76,Channelview C15/AH115 
9,10,June 2017,65,Houston Bayland Park C53/A146 
10,11,June 2017,51,Mustang Bayou C619 
11,12,June 2017,45,Channelview C15/AH115 
12,13,June 2017,34,Texas City 34th St. C620 
13,14,June 2017,41,Hou.DeerPrk2 C35/235/1001/AFH139FP239
14,15,June 2017,41,Mustang Bayou C619 
15,16,June 2017,37,Mustang Bayou C619 
16,17,June 2017,36,Houston Bayland Park C53/A146 
17,18,June 2017,34,Houston Bayland Park C53/A146 
18,19,June 2017,61,Seabrook Friendship Park C45
19,20,June 2017,44,Park Place C416
20,21,June 2017,32,Park Place C416
21,22,June 2017,37,UH WG Jones Forest C698
22,23,June 2017,51,Danciger C618 
23,24,June 2017,46,HRM-3 Haden Road C603/A114 
24,25,June 2017,36,Danciger C618 
25,26,June 2017,50,Danciger C618 
26,27,June 2017,40,Channelview C15/AH115 
27,28,June 2017,37,Lang C408
28,29,June 2017,35,Houston Bayland Park C53/A146 
29,30,June 2017,36,Houston Bayland Park C53/A146 
30,1,July 2017,36,Houston Bayland Park C53/A146 
31,2,July 2017,40,Houston Bayland Park C53/A146 
32,3,July 2017,39,Houston Bayland Park C53/A146 
33,4,July 2017,37,Houston Bayland Park C53/A146 
34,5,July 2017,43,Mustang Bayou C619 
35,6,July 2017,54,Channelview C15/AH115 
36,7,July 2017,50,Houston East C1/G316
37,8,July 2017,44,Houston East C1/G316
38,9,July 2017,41,UH Coastal Center C697
39,10,July 2017,42,Northwest Harris Co. C26/A110/X154
40,11,July 2017,36,Seabrook Friendship Park C45
41,12,July 2017,38,Mustang Bayou C619 
42,13,July 2017,46,Mustang Bayou C619 
43,14,July 2017,59,Hou.DeerPrk2 C35/235/1001/AFH139FP239
44,15,July 2017,41,UH Coastal Center C697
45,16,July 2017,60,Seabrook Friendship Park C45
46,17,July 2017,55,Channelview C15/AH115 
47,18,July 2017,58,Mustang Bayou C619 
48,19,July 2017,56,Texas City 34th St. C620 
49,20,July 2017,57,Hou.DeerPrk2 C35/235/1001/AFH139FP239
